"gene","type"
"SDC1","both"
"SDC2","both"
"ITGAV_ITGB3","both"
"ITGAV_ITGB5","both"
"C1QL1","ligand"
"CD55","ligand"
"LPAR1","ligand"
"LPAR2","ligand"
"LPAR3","ligand"
"ITGAV_ITGB1","both"
"TGM2","ligand"
"PRNP","ligand"
"FLRT1","both"
"FLRT2","both"
"FLRT3","both"
"TENM1","ligand"
"TENM2","ligand"
"TENM3","ligand"
"TENM4","ligand"
"TENM2_FLRT1","ligand"
"TENM2_FLRT3","ligand"
"TENM4_FLRT1","ligand"
"TENM4_FLRT3","ligand"
"UNC5A","both"
"TENM3_FLRT1","ligand"
"TENM3_FLRT3","ligand"
"LRFN5","ligand"
"APOA1","ligand"
"APOB","ligand"
"MMP2","ligand"
"NTN1","ligand"
"NTN4","ligand"
"VCAM1","both"
"TGFbR1_R2","receptor"
"ACVR1B_TGFbR2","receptor"
"ACVR1C_TGFbR2","receptor"
"ACVR1_TGFbR","receptor"
"BMPR1A_ACVR2A","receptor"
"BMPR1A_ACVR2B","receptor"
"BMPR1A_BMPR2","receptor"
"BMPR1B_ACVR2A","receptor"
"BMPR1B_ACVR2B","receptor"
"BMPR1B_BMPR2","receptor"
"ACVR1_ACVR2A","receptor"
"ACVR1_ACVR2B","receptor"
"ACVR1_BMPR2","receptor"
"ACVRL1_BMPR2","receptor"
"ACVRL1_ACVR2A","receptor"
"ACVR1B_ACVR2A","receptor"
"TGFBR1_ACVR2A","receptor"
"TGFBR1_ACVR2B","receptor"
"ACVR1B_ACVR2B","receptor"
"GFRA1_RET","receptor"
"GFRA2_RET","receptor"
"ACVR1B_ACVR2A_CFC1","receptor"
"ACVR1C_ACVR2A_CFC1","receptor"
"ACVR1B_ACVR2B_CFC1","receptor"
"ACVR1C_ACVR2B_CFC1","receptor"
"ACVR1C_ACVR2A","receptor"
"ACVR1C_ACVR2B","receptor"
"ACVR2A","receptor"
"ACVR2B","receptor"
"FZD1_LRP5","receptor"
"FZD10_LRP5","receptor"
"FZD2_LRP5","receptor"
"FZD3_LRP5","receptor"
"FZD4_LRP5","receptor"
"FZD5_LRP5","receptor"
"FZD6_LRP5","receptor"
"FZD7_LRP5","receptor"
"FZD8_LRP5","receptor"
"FZD9_LRP5","receptor"
"FZD1_LRP6","receptor"
"FZD10_LRP6","receptor"
"FZD2_LRP6","receptor"
"FZD3_LRP6","receptor"
"FZD4_LRP6","receptor"
"FZD5_LRP6","receptor"
"FZD6_LRP6","receptor"
"FZD7_LRP6","receptor"
"FZD8_LRP6","receptor"
"FZD9_LRP6","receptor"
"FZD10","receptor"
"FZD3","receptor"
"FZD6","receptor"
"FZD7","receptor"
"FZD8","receptor"
"MCAM","receptor"
"EGFR","receptor"
"EGFR_ERBB2","receptor"
"ERBB4","receptor"
"ERBB2_ERBB4","receptor"
"ERBB3","receptor"
"ERBB2_ERBB3","receptor"
"FGFR1","receptor"
"FGFR2","receptor"
"FGFR3","receptor"
"PDGFRA","receptor"
"PDGFRB","receptor"
"FLT1","receptor"
"KDR","receptor"
"FLT4","receptor"
"FLT1_KDR","receptor"
"FLT4_KDR","receptor"
"IGF1R","receptor"
"ITGA6_ITGB4","receptor"
"PTCH1_SMO","receptor"
"PTCH2_SMO","receptor"
"CCR1","receptor"
"CCR4","receptor"
"CCR5","receptor"
"ACKR1","receptor"
"ACKR2","receptor"
"CXCR2","receptor"
"CXCR3","receptor"
"ACKR3","receptor"
"IL2RA_IL2RB","receptor"
"IL2RB_IL2RG","receptor"
"IL7R_IL2RG","receptor"
"IL15RA_IL2RB","receptor"
"IL21R_IL2RG","receptor"
"IL4R_IL13RA1","receptor"
"IL4R_IL13RA2","receptor"
"IL13RA1","receptor"
"IL13RA2","receptor"
"IL6R_IL6ST","receptor"
"IL12RB1_IL12RB2","receptor"
"IL23R_IL12RB1","receptor"
"CNTFR_LIFR","receptor"
"LIFR_IL6ST","receptor"
"IL10RA_IL10RB","receptor"
"IL20RA_IL20RB","receptor"
"IL20RA_IL10RB","receptor"
"IL1R1_IL1RAP","receptor"
"IL1RL2_IL1RAP","receptor"
"IL18R1_IL18RAP","receptor"
"IL17RA_IL17RE","receptor"
"CSF1R","receptor"
"CD4","receptor"
"LTBR","receptor"
"EDAR","receptor"
"NGFR","receptor"
"TNFRSF12A","receptor"
"TNFRSF9","receptor"
"TNFRSF17","receptor"
"TNFRSF13C","receptor"
"ITGA2B_ITGB3","receptor"
"ITGA5_ITGB1","receptor"
"ITGAM_ITGB2","receptor"
"CD44","receptor"
"ITGAV_ITGB6","receptor"
"ITGA8_ITGB1","receptor"
"ITGA1_ITGB1","receptor"
"CDH11","receptor"
"SDC3","receptor"
"SDC4","receptor"
"TEK","receptor"
"PTPRZ1","receptor"
"ALK","receptor"
"EDNRA","receptor"
"NPFFR1","receptor"
"NPFFR2","receptor"
"NPY1R","receptor"
"NPY4R","receptor"
"NPY5R","receptor"
"OPRK1","receptor"
"OPRL1","receptor"
"OPRM1","receptor"
"TACR1","receptor"
"TACR3","receptor"
"F2R","receptor"
"F2RL1","receptor"
"PARD3","receptor"
"PROKR2","receptor"
"KIT","receptor"
"NTRK2","receptor"
"FLT3","receptor"
"MET","receptor"
"NTRK3","receptor"
"NRP1_PLXNA1","receptor"
"NRP1_PLXNA2","receptor"
"NRP1_PLXNA3","receptor"
"NRP1_PLXNA4","receptor"
"NRP2_PLXNA1","receptor"
"NRP2_PLXNA2","receptor"
"NRP2_PLXNA3","receptor"
"NRP2_PLXNA4","receptor"
"NRP1_NRP2","receptor"
"PLXND1","receptor"
"CALCR","receptor"
"CALCRL","receptor"
"CRHR2","receptor"
"GPR19","receptor"
"AXL","receptor"
"MERTK","receptor"
"TYRO3","receptor"
"SORT1","receptor"
"RXFP2","receptor"
"NPR3","receptor"
"GPR37","receptor"
"PTH1R","receptor"
"PTH2R","receptor"
"CMKLR1","receptor"
"CALCR_RAMP1","receptor"
"CALCR_RAMP2","receptor"
"CALCR_RAMP3","receptor"
"CALCRL_RAMP1","receptor"
"CALCRL_RAMP2","receptor"
"CALCRL_RAMP3","receptor"
"PROCR_HSP90AA1","receptor"
"PROCR_F2R","receptor"
"PROCR","receptor"
"ROBO1","receptor"
"ROBO2","receptor"
"ITGA2_ITGB1","receptor"
"ITGA3_ITGB1","receptor"
"ITGA6_ITGB1","receptor"
"ITGA7_ITGB1","receptor"
"ITGA10_ITGB1","receptor"
"ITGA11_ITGB1","receptor"
"ITGAV_ITGB8","receptor"
"SV2A","receptor"
"SV2B","receptor"
"SV2C","receptor"
"CD36","receptor"
"GP complex","receptor"
"GP6","receptor"
"CD47","receptor"
"DAG1","receptor"
"LRP8","receptor"
"VLDLR","receptor"
"CHRN_A1_2B1DE","receptor"
"CHRN_A1_2B1DG","receptor"
"CHRN_A3B4","receptor"
"CHRN_A4B2","receptor"
"GABR_A1B3G2","receptor"
"GABR_A1B2G2","receptor"
"GABR_A1B2","receptor"
"GABR_A1B3","receptor"
"GABR_A1B2D","receptor"
"GABR_A2B3G2","receptor"
"GABR_A3B3G2","receptor"
"GABR_A3B3Q","receptor"
"GABR_A3B3E","receptor"
"GABR_A4B3G2","receptor"
"GABR_A4B3D","receptor"
"GABR_A4B2D","receptor"
"GABR_A5B3G2","receptor"
"GABR_A6B3G2","receptor"
"GABR_A6B3D","receptor"
"GLRA1_GLRB","receptor"
"GLRA2","receptor"
"ADORA1","receptor"
"ADORA2B","receptor"
"ADRA1A","receptor"
"ADRA1B","receptor"
"ADRA1D","receptor"
"ADRA2B","receptor"
"ADRB1","receptor"
"ADRB3","receptor"
"CHRM1","receptor"
"CHRM2","receptor"
"CHRM3","receptor"
"CHRM4","receptor"
"CHRM5","receptor"
"CYSLTR1","receptor"
"CYSLTR2","receptor"
"DRD2","receptor"
"DRD3","receptor"
"DRD5","receptor"
"GABBR1","receptor"
"GABBR2","receptor"
"GRIA2","receptor"
"GRIA3","receptor"
"GRIA4","receptor"
"GRID2","receptor"
"GRIK1","receptor"
"GRIK2","receptor"
"GRIK3","receptor"
"GRM1","receptor"
"GRM2","receptor"
"GRM3","receptor"
"GRM5","receptor"
"GRM7","receptor"
"GRM8","receptor"
"HTR1D","receptor"
"HTR2A","receptor"
"HTR2B","receptor"
"HTR4","receptor"
"HTR7","receptor"
"LTB4R","receptor"
"PTGDR","receptor"
"GRIK1_GRIK4","receptor"
"GRIK2_GRIK4","receptor"
"GRIK3_GRIK4","receptor"
"GRIK1_GRIK5","receptor"
"GRIK2_GRIK5","receptor"
"GRIK3_GRIK5","receptor"
"GRIN1_GRIN2A","receptor"
"GRIN1_GRIN2B","receptor"
"GRIN1_GRIN2C","receptor"
"NR1H4","receptor"
"CNR2","receptor"
"AR","receptor"
"RARA_CRABP2","receptor"
"RARA_RXRA_CRABP2","receptor"
"RARB_CRABP2","receptor"
"RARB_RXRB_CRABP2","receptor"
"RXRA_CRABP2","receptor"
"RXRB_CRABP2","receptor"
"RORB","receptor"
"RORA","receptor"
"RORC","receptor"
"NR3C1","receptor"
"NR3C2","receptor"
"ESR1","receptor"
"NR1I2","receptor"
"PPARA","receptor"
"PPARD","receptor"
"PPARG","receptor"
"ESR2","receptor"
"GPER1","receptor"
"MTNR1A","receptor"
"THRA","receptor"
"THRB","receptor"
"CD74","receptor"
"ITGAX_ITGB2","receptor"
"SELP","receptor"
"TMIGD3","receptor"
"CD40","receptor"
"CD22","receptor"
"CD244","receptor"
"ALCAM","receptor"
"CD274","receptor"
"CD28","receptor"
"NECTIN1","receptor"
"PILRA","receptor"
"CD99L2","receptor"
"KLRB1","receptor"
"CNTN1_CNTNAP1","receptor"
"CNTN2_CNTNAP2","receptor"
"NRCAM","receptor"
"DSG1","receptor"
"DSG2","receptor"
"EPHA1","receptor"
"EPHA2","receptor"
"EPHA5","receptor"
"EPHA7","receptor"
"EPHB2","receptor"
"EPHB1","receptor"
"EPHB3","receptor"
"EPHB4","receptor"
"ITGAL_ITGB2","receptor"
"CD8 receptor","receptor"
"TIGIT","receptor"
"CD226","receptor"
"NTNG1","receptor"
"NOTCH1","receptor"
"NOTCH2","receptor"
"NOTCH3","receptor"
"NOTCH4","receptor"
"NLGN1","receptor"
"NLGN2","receptor"
"GLG1","receptor"
"PODXL","receptor"
"PLXNB1","receptor"
"PLXNB3","receptor"
"PLXNA1","receptor"
"PLXNA3","receptor"
"PLXNA1_KDR","receptor"
"PLXNA1_TREM2","receptor"
"PLXNA2","receptor"
"PLXNA4","receptor"
"ITGB1_ITGA1","receptor"
"PLXNC1","receptor"
"IGSF11","receptor"
"DSG3","receptor"
"ADGRA2","receptor"
"ADGRB1","receptor"
"ADGRB3","receptor"
"ADGRE5","receptor"
"ADGRG1","receptor"
"ADGRG6","receptor"
"ADGRL1","receptor"
"ADGRL2","receptor"
"ADGRL3","receptor"
"UNC5B","receptor"
"UNC5C","receptor"
"UNC5D","receptor"
"CLSTN1","receptor"
"CLSTN2","receptor"
"CLSTN3","receptor"
"PTPRD","receptor"
"PTPRF","receptor"
"LRRTM1","receptor"
"LRRTM3","receptor"
"LRRTM4","receptor"
"SORL1","receptor"
"TNFRSF21","receptor"
"TREM2_TYROBP","receptor"
"ABCA1","receptor"
"CUBN_AMN","receptor"
"APOBR","receptor"
"MMP14_ITGAV_ITGB3","receptor"
"DCC","receptor"
"DSCAM","receptor"
"CD38","receptor"
"ITGAD_ITGB2","receptor"
