Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Human gene stable ID,Human gene name,%id. target Human gene identical to query gene,%id. query gene identical to target Human gene,"Human orthology confidence [0 low, 1 high]"
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000122849,ENSECAT00000122849.1,ENSG00000151014,NOCT,72.4077,95.5916,1
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000142998,ENSECAT00000142998.1,ENSG00000151014,NOCT,72.4077,95.5916,1
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000085151,ENSECAT00000085151.1,ENSG00000151014,NOCT,72.4077,95.5916,1
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000049589,ENSECAT00000049589.2,ENSG00000151014,NOCT,72.4077,95.5916,1
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000117958,ENSECAT00000117958.1,ENSG00000151014,NOCT,72.4077,95.5916,1
ENSECAG00000023024,ENSECAG00000023024.4,ENSECAT00000024763,ENSECAT00000024763.4,ENSG00000074800,ENO1,68.1818,44.9309,0
ENSECAG00000022715,ENSECAG00000022715.4,ENSECAT00000106809,ENSECAT00000106809.1,ENSG00000189184,PCDH18,97.7974,97.7974,1
ENSECAG00000022715,ENSECAG00000022715.4,ENSECAT00000024322,ENSECAT00000024322.4,ENSG00000189184,PCDH18,97.7974,97.7974,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000040596,ENSECAT00000040596.2,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000083477,ENSECAT00000083477.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000102422,ENSECAT00000102422.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000090313,ENSECAT00000090313.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000101454,ENSECAT00000101454.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000005188,ENSECAT00000005188.3,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000134672,ENSECAT00000134672.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000140276,ENSECAT00000140276.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000078970,ENSECAT00000078970.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000004120,ENSECAG00000004120.3,ENSECAT00000096670,ENSECAT00000096670.1,ENSG00000164074,ABHD18,90.0212,91.3793,1
ENSECAG00000034189,ENSECAG00000034189.3,ENSECAT00000066475,ENSECAT00000066475.2,ENSG00000164040,PGRMC2,88.2114,97.3094,1
ENSECAG00000034189,ENSECAG00000034189.3,ENSECAT00000064660,ENSECAT00000064660.3,ENSG00000164040,PGRMC2,88.2114,97.3094,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000137532,ENSECAT00000137532.1,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000110450,ENSECAT00000110450.1,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000109391,ENSECAT00000109391.1,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000086018,ENSECAT00000086018.1,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000116410,ENSECAT00000116410.1,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000001421,ENSECAT00000001421.3,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000138339,ENSECAT00000138339.1,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000001088,ENSECAG00000001088.4,ENSECAT00000073147,ENSECAT00000073147.2,ENSG00000138709,LARP1B,73.5081,88.9497,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000133281,ENSECAT00000133281.1,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000074286,ENSECAT00000074286.2,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000070924,ENSECAT00000070924.2,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000007596,ENSECAT00000007596.3,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000075644,ENSECAT00000075644.2,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000120482,ENSECAT00000120482.1,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000101680,ENSECAT00000101680.1,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000095952,ENSECAT00000095952.1,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000076383,ENSECAT00000076383.2,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000007347,ENSECAG00000007347.4,ENSECAT00000077848,ENSECAT00000077848.2,ENSG00000164073,MFSD8,87.8613,88.0309,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000008372,ENSECAT00000008372.4,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000082931,ENSECAT00000082931.1,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000086504,ENSECAT00000086504.1,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000034390,ENSECAT00000034390.3,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000058486,ENSECAT00000058486.3,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000116606,ENSECAT00000116606.1,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000008187,ENSECAG00000008187.4,ENSECAT00000086313,ENSECAT00000086313.1,ENSG00000142731,PLK4,88.3817,87.8351,1
ENSECAG00000017266,ENSECAG00000017266.4,ENSECAT00000018344,ENSECAT00000018344.4,ENSG00000163394,CCKAR,91.8224,91.8224,1
ENSECAG00000022152,ENSECAG00000022152.4,ENSECAT00000035444,ENSECAT00000035444.3,ENSG00000158966,CACHD1,97.4047,94.27,1
ENSECAG00000022152,ENSECAG00000022152.4,ENSECAT00000074160,ENSECAT00000074160.2,ENSG00000158966,CACHD1,97.4047,94.27,1
ENSECAG00000022152,ENSECAG00000022152.4,ENSECAT00000032321,ENSECAT00000032321.2,ENSG00000158966,CACHD1,97.4047,94.27,1
ENSECAG00000022152,ENSECAG00000022152.4,ENSECAT00000040519,ENSECAT00000040519.3,ENSG00000158966,CACHD1,97.4047,94.27,1
ENSECAG00000022152,ENSECAG00000022152.4,ENSECAT00000023833,ENSECAT00000023833.4,ENSG00000158966,CACHD1,97.4047,94.27,1
ENSECAG00000022152,ENSECAG00000022152.4,ENSECAT00000058373,ENSECAT00000058373.3,ENSG00000158966,CACHD1,97.4047,94.27,1
ENSECAG00000016152,ENSECAG00000016152.4,ENSECAT00000096765,ENSECAT00000096765.1,ENSG00000153012,LGI2,96.8921,97.2477,1
ENSECAG00000016152,ENSECAG00000016152.4,ENSECAT00000017365,ENSECAT00000017365.4,ENSG00000153012,LGI2,96.8921,97.2477,1
ENSECAG00000016152,ENSECAG00000016152.4,ENSECAT00000094059,ENSECAT00000094059.1,ENSG00000153012,LGI2,96.8921,97.2477,1
ENSECAG00000016152,ENSECAG00000016152.4,ENSECAT00000083448,ENSECAT00000083448.1,ENSG00000153012,LGI2,96.8921,97.2477,1
ENSECAG00000054073,ENSECAG00000054073.1,ENSECAT00000147034,ENSECAT00000147034.1,ENSG00000076248,UNG,68.6567,29.393,0
ENSECAG00000009877,ENSECAG00000009877.4,ENSECAT00000034917,ENSECAT00000034917.3,ENSG00000164070,HSPA4L,84.9097,95.2324,1
ENSECAG00000009877,ENSECAG00000009877.4,ENSECAT00000010490,ENSECAT00000010490.4,ENSG00000164070,HSPA4L,84.9097,95.2324,1
ENSECAG00000009877,ENSECAG00000009877.4,ENSECAT00000086109,ENSECAT00000086109.1,ENSG00000164070,HSPA4L,84.9097,95.2324,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000132823,ENSECAT00000132823.1,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000100264,ENSECAT00000100264.1,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000114943,ENSECAT00000114943.1,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000128905,ENSECAT00000128905.1,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000035699,ENSECAT00000035699.2,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000009805,ENSECAT00000009805.4,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000106400,ENSECAT00000106400.1,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000009481,ENSECAG00000009481.4,ENSECAT00000033496,ENSECAT00000033496.2,ENSG00000109689,STIM2,83.043,95.8445,1
ENSECAG00000026838,ENSECAG00000026838.4,ENSECAT00000062183,ENSECAT00000062183.3,ENSG00000162598,C1orf87,72.3282,69.4139,1
ENSECAG00000010831,ENSECAG00000010831.4,ENSECAT00000011257,ENSECAT00000011257.4,ENSG00000151475,SLC25A31,91.9505,94.2857,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000058284,ENSECAT00000058284.2,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000059357,ENSECAT00000059357.2,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000131396,ENSECAT00000131396.1,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000059879,ENSECAT00000059879.2,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000102480,ENSECAT00000102480.1,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000046316,ENSECAT00000046316.2,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000121903,ENSECAT00000121903.1,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000132453,ENSECAT00000132453.1,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000023839,ENSECAG00000023839.4,ENSECAT00000118216,ENSECAT00000118216.1,ENSG00000177414,UBE2U,53.9295,62.776,1
ENSECAG00000011831,ENSECAG00000011831.4,ENSECAT00000034410,ENSECAT00000034410.3,ENSG00000164066,INTU,88.5928,88.2166,1
ENSECAG00000011831,ENSECAG00000011831.4,ENSECAT00000033067,ENSECAT00000033067.2,ENSG00000164066,INTU,88.5928,88.2166,1
ENSECAG00000011831,ENSECAG00000011831.4,ENSECAT00000062113,ENSECAT00000062113.2,ENSG00000164066,INTU,88.5928,88.2166,1
ENSECAG00000011831,ENSECAG00000011831.4,ENSECAT00000012475,ENSECAT00000012475.3,ENSG00000164066,INTU,88.5928,88.2166,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000020717,ENSECAT00000020717.4,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000051932,ENSECAT00000051932.2,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000097950,ENSECAT00000097950.1,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000083160,ENSECAT00000083160.1,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000061772,ENSECAT00000061772.3,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000068938,ENSECAT00000068938.2,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000037717,ENSECAT00000037717.3,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000090776,ENSECAT00000090776.1,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000122970,ENSECAT00000122970.1,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000019257,ENSECAG00000019257.4,ENSECAT00000030830,ENSECAT00000030830.3,ENSG00000168214,RBPJ,89.1993,98.3573,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000087357,ENSECAT00000087357.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000112056,ENSECAT00000112056.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000128131,ENSECAT00000128131.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000116609,ENSECAT00000116609.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000086483,ENSECAT00000086483.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000147652,ENSECAT00000147652.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000116141,ENSECAT00000116141.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000025932,ENSECAT00000025932.4,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024107,ENSECAG00000024107.4,ENSECAT00000112200,ENSECAT00000112200.1,ENSG00000185483,ROR1,91.1795,94.8773,1
ENSECAG00000024419,ENSECAG00000024419.4,ENSECAT00000137587,ENSECAT00000137587.1,ENSG00000077684,JADE1,93.4558,96.6746,1
ENSECAG00000024419,ENSECAG00000024419.4,ENSECAT00000105280,ENSECAT00000105280.1,ENSG00000077684,JADE1,93.4558,96.6746,1
ENSECAG00000024419,ENSECAG00000024419.4,ENSECAT00000063034,ENSECAT00000063034.3,ENSG00000077684,JADE1,93.4558,96.6746,1
ENSECAG00000024419,ENSECAG00000024419.4,ENSECAT00000035784,ENSECAT00000035784.3,ENSG00000077684,JADE1,93.4558,96.6746,1
ENSECAG00000024419,ENSECAG00000024419.4,ENSECAT00000056091,ENSECAT00000056091.3,ENSG00000077684,JADE1,93.4558,96.6746,1
ENSECAG00000024419,ENSECAG00000024419.4,ENSECAT00000032344,ENSECAT00000032344.3,ENSG00000077684,JADE1,93.4558,96.6746,1
ENSECAG00000011003,ENSECAG00000011003.4,ENSECAT00000109123,ENSECAT00000109123.1,ENSG00000184588,PDE4B,97.962,97.962,1
ENSECAG00000011003,ENSECAG00000011003.4,ENSECAT00000038340,ENSECAT00000038340.3,ENSG00000184588,PDE4B,97.962,97.962,1
ENSECAG00000011003,ENSECAG00000011003.4,ENSECAT00000065790,ENSECAT00000065790.2,ENSG00000184588,PDE4B,97.962,97.962,1
ENSECAG00000011003,ENSECAG00000011003.4,ENSECAT00000069263,ENSECAT00000069263.2,ENSG00000184588,PDE4B,97.962,97.962,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000012364,ENSECAT00000012364.3,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000108293,ENSECAT00000108293.1,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000063304,ENSECAT00000063304.2,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000070957,ENSECAT00000070957.2,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000081123,ENSECAT00000081123.1,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000078166,ENSECAT00000078166.2,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000074196,ENSECAT00000074196.2,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000011680,ENSECAG00000011680.4,ENSECAT00000116391,ENSECAT00000116391.1,ENSG00000109680,TBC1D19,95.0184,97.9087,1
ENSECAG00000013248,ENSECAG00000013248.4,ENSECAT00000013745,ENSECAT00000013745.4,ENSG00000240563,L1TD1,61.3504,60.9249,1
ENSECAG00000013266,ENSECAG00000013266.4,ENSECAT00000058768,ENSECAT00000058768.3,ENSG00000132849,PATJ,82.5026,82.678,1
ENSECAG00000013266,ENSECAG00000013266.4,ENSECAT00000051013,ENSECAT00000051013.3,ENSG00000132849,PATJ,82.5026,82.678,1
ENSECAG00000013266,ENSECAG00000013266.4,ENSECAT00000043820,ENSECAT00000043820.2,ENSG00000132849,PATJ,82.5026,82.678,1
ENSECAG00000013266,ENSECAG00000013266.4,ENSECAT00000044548,ENSECAT00000044548.3,ENSG00000132849,PATJ,82.5026,82.678,1
ENSECAG00000013266,ENSECAG00000013266.4,ENSECAT00000055348,ENSECAT00000055348.3,ENSG00000132849,PATJ,82.5026,82.678,1
ENSECAG00000015035,ENSECAG00000015035.3,ENSECAT00000139987,ENSECAT00000139987.1,ENSG00000162604,TM2D1,45.1613,60.8696,0
ENSECAG00000015035,ENSECAG00000015035.3,ENSECAT00000123913,ENSECAT00000123913.1,ENSG00000162604,TM2D1,45.1613,60.8696,0
ENSECAG00000015035,ENSECAG00000015035.3,ENSECAT00000112217,ENSECAT00000112217.1,ENSG00000162604,TM2D1,45.1613,60.8696,0
ENSECAG00000015035,ENSECAG00000015035.3,ENSECAT00000015708,ENSECAT00000015708.3,ENSG00000162604,TM2D1,45.1613,60.8696,0
ENSECAG00000041550,ENSECAG00000041550.2,ENSECAT00000067647,ENSECAT00000067647.2,ENSG00000250317,SMIM20,27.8788,68.6567,0
ENSECAG00000041550,ENSECAG00000041550.2,ENSECAT00000073679,ENSECAT00000073679.2,ENSG00000250317,SMIM20,27.8788,68.6567,0
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000016287,ENSECAT00000016287.4,ENSG00000162599,NFIA,90.8592,97.6424,1
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000055580,ENSECAT00000055580.3,ENSG00000162599,NFIA,90.8592,97.6424,1
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000042807,ENSECAT00000042807.2,ENSG00000162599,NFIA,90.8592,97.6424,1
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000058609,ENSECAT00000058609.3,ENSG00000162599,NFIA,90.8592,97.6424,1
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000072966,ENSECAT00000072966.2,ENSG00000162599,NFIA,90.8592,97.6424,1
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000033928,ENSECAT00000033928.3,ENSG00000162599,NFIA,90.8592,97.6424,1
ENSECAG00000015574,ENSECAG00000015574.4,ENSECAT00000071086,ENSECAT00000071086.2,ENSG00000162599,NFIA,90.8592,97.6424,1
