"external_gene_name","hsapiens_homolog_associated_gene_name"
"Beta-FSH","FSHB"
"ARL14EP","ARL14EP"
"RASL11B","RASL11B"
"MCM4","MCM4"
"USP46","USP46"
"MPPED2","MPPED2"
"BPNT2","BPNT2"
"PRKDC","PRKDC"
"DCDC1","DCDC1"
"IGFBP7","IGFBP7"
"REST","REST"
"SDR16C5","SDR16C5"
"POLR2B","POLR2B"
"NOA1","NOA1"
"CYP7B1","CYP7B1"
"","SPINK2"
"ASPH","ASPH"
"HOPX","HOPX"
"PTPRB","PTPRB"
"SPMAP2L","SPMAP2L"
"DNAJC24","DNAJC24"
"PAICS","PAICS"
"CEBPD","CEBPD"
"IMMP1L","IMMP1L"
"SPIDR","SPIDR"
"ELP4","ELP4"
"SNAI2",""
"CLXN","CLXN"
"UBE2V2","UBE2V2"
"PAX6","PAX6"
"OTUD6B","OTUD6B"
"HNF4G","HNF4G"
"TERF1","TERF1"
"CLVS1","CLVS1"
"PTPRR","PTPRR"
"OSGIN2","OSGIN2"
"PENK","PENK"
"MOS","MOS"
"","ZIC5"
"SBSPON","SBSPON"
"RIPK2","RIPK2"
"RPS20","RPS20"
"TMBIM4","TMBIM4"
"KCNB2","KCNB2"
"NBN","NBN"
"LYN","LYN"
"MYBL1","MYBL1"
"ARL9","ARL9"
"CHCHD7","CHCHD7"
"PLAG1","PLAG1"
"SRP72","SRP72"
"IRAK3","IRAK3"
"DECR1","DECR1"
"TGS1","TGS1"
"CALB1","CALB1"
"TMEM64","TMEM64"
"HELB","HELB"
"PREX2","PREX2"
"PPAT","PPAT"
"NECAB1","NECAB1"
"TMEM68","TMEM68"
"GRIP1","GRIP1"
"C8orf88","C8orf88"
"PIP4P2","PIP4P2"
"XKR4","XKR4"
"CRACD","CRACD"
"SLC26A7","SLC26A7"
"YTHDF3","YTHDF3"
"VXN","VXN"
"AASDH","AASDH"
"TTPA","TTPA"
"RAB2A","RAB2A"
"LGR5","LGR5"
"C8orf34","C8orf34"
"eca-mir-8990",""
"RASSF3","RASSF3"
"CEP135","CEP135"
"ADHFE1","ADHFE1"
"eca-mir-8995",""
"CA8","CA8"
"RPE65","RPE65"
"IFI44L","IFI44L"
"RRS1","RRS1"
"GNS","GNS"
"EXOC1","EXOC1"
"CRH","CRH"
"","SMIM15"
"ST6GALNAC3","ST6GALNAC3"
"TOX","TOX"
"TRIM55","TRIM55"
"NEGR1","NEGR1"
"MDM1","MDM1"
"EXOC1L","EXOC1L"
"IFI44","IFI44"
"NMU","NMU"
"DEPDC1","DEPDC1"
"NSMAF","NSMAF"
"PTGFR","PTGFR"
"DNAJC5B","DNAJC5B"
"ZRANB2","ZRANB2"
"RAP1B","RAP1B"
"PDCL2","PDCL2"
"PEX2","PEX2"
"PTGER3","PTGER3"
"SRD5A3","SRD5A3"
"SDCBP","SDCBP"
"CLOCK","CLOCK"
"CTH","CTH"
"KDR","KDR"
"PDE7A","PDE7A"
"ANKRD13C","ANKRD13C"
"CYP7A1","CYP7A1"
"SRSF11","SRSF11"
"UBXN2B","UBXN2B"
"LRRC40","LRRC40"
"AHCYL1","AHCYL1"
"NUP107","NUP107"
"KIT","KIT"
"ZFHX4","ZFHX4"
"LRRC7","LRRC7"
"TAF13","TAF13"
"FAM110B","FAM110B"
"KCNA2","KCNA2"
"MTFR1","MTFR1"
"COL11A1","COL11A1"
"LYPLA1","LYPLA1"
"SERBP1","SERBP1"
"ARMC1","ARMC1"
"SLC35E3","SLC35E3"
"IL12RB2","IL12RB2"
"CPM","CPM"
"PRDM14","PRDM14"
"IL23R","IL23R"
"MRPL15","MRPL15"
"CPSF6","CPSF6"
"CRISPLD1","CRISPLD1"
"C5H1orf141","C1orf141"
"LYZ","LYZ"
"SLC35D1","SLC35D1"
"TAFA3","TAFA3"
"TCEA1","TCEA1"
"YEATS4","YEATS4"
"BET1",""
"RHOC","RHOC"
"DNAI4","DNAI4"
"PI15","PI15"
"FRS2","FRS2"
"H3-3B",""
"GDAP1","GDAP1"
"MIER1","MIER1"
"MOV10","MOV10"
"","ESD"
"CCT2","CCT2"
"SEM1","SEM1"
"CAPZA1","CAPZA1"
"LHX8","LHX8"
"LRRC10",""
"TYW3","TYW3"
"RGS20","RGS20"
"DLX6","DLX6"
"CRYZ","CRYZ"
"BEST3","BEST3"
"ST7L","ST7L"
"DLX5","DLX5"
"ERICH3","ERICH3"
"JPH1","JPH1"
"ATP6V1H","ATP6V1H"
"SDHAF3",""
"STEAP2","STEAP2"
"RAB3IP","MYRFL"
"TMEM70","TMEM70"
"TNNI3K","TNNI3K"
"LRRC53","LRRC53"
"LY96","LY96"
"FPGT","FPGT"
"GTPBP10","GTPBP10"
"LRRIQ3","LRRIQ3"
"WNT2B","WNT2B"
"ELOC","ELOC"
"RP1","RP1"
"CFAP69","CFAP69"
"CTTNBP2NL","CTTNBP2NL"
"ASB17","ASB17"
"MSH4","MSH4"
"LRIG2","LRIG2"
"RABGGTB","RABGGTB"
"ACADM","ACADM"
"SLC16A1","SLC16A1"
"NKAIN3","NKAIN3"
"CLDN12","CLDN12"
"TGIF1","TGIF1"
"U6","RNU6-899P"
"U6","RNU6-91P"
"CYM",""
"CETN1","CETN1"
"eca-mir-9076",""
"KCNA3","KCNA3"
"TMEM165","TMEM165"
"PTTG1IP2","PTTG1IP2"
"DLGAP1","DLGAP1"
"","UBE2W"
"ADORA3","ADORA3"
"CDK14","CDK14"
"KCND3","KCND3"
"SLC44A5","SLC44A5"
"DDX20","DDX20"
"STAU2","STAU2"
"INKA2","INKA2"
"USP14","USP14"
"STEAP1","STEAP1"
"STEAP1","STEAP1B"
"RAP1A","RAP1A"
"WLS","WLS"
"ADAM22","ADAM22"
"ATP5PB","ATP5PB"
"THOC1","THOC1"
"WDR77","WDR77"
"DIRAS3","DIRAS3"
"CIMAP3","CIMAP3"
"GADD45A","GADD45A"
"COLEC12","COLEC12"
"GIPC2","GIPC2"
"CHI3L2","CHI3L2"
"DENND2D","DENND2D"
"DNAJB4","DNAJB4"
"SRI","SRI"
"CEPT1","CEPT1"
"FUBP1",""
"U2",""
"eca-mir-763",""
"ZNF521","ZNF521"
"MDM2","MDM2"
"DRAM2","DRAM2"
"STEAP4","STEAP4"
"LRIF1","LRIF1"
"AKAIN1","AKAIN1"
"ZNF804B","ZNF804B"
"ZBTB14","ZBTB14"
"CD53","CD53"
"NEXN","NEXN"
"TEX47","TEX47"
"LAMA3","LAMA3"
"","AMY1B"
"","AMY2B"
"","AMY1C"
"","AMY2A"
"","AMY1A"
"MIGA1","MIGA1"
"RDH10","RDH10"
"RNPC3","RNPC3"
"COL1A2","COL1A2"
"RPL7",""
"SARS1","SARS1"
"USP33","USP33"
"C8orf89","C8orf89"
"CPA6","CPA6"
"ELAPOR1","ELAPOR1"
"TTC39C","TTC39C"
"ARFGEF1","ARFGEF1"
"CABYR","CABYR"
"ZZZ3","ZZZ3"
"OSBPL1A","OSBPL1A"
"IMPACT","IMPACT"
"HRH4","HRH4"
"EMILIN2","EMILIN2"
"AK5","AK5"
"CSPP1","CSPP1"
"LPIN2","LPIN2"
"SNORD115",""
"SNORD54","SNORD54"
"PIGK","PIGK"
"GGH","GGH"
"CFAP276","CFAP276"
"AFG3L2","AFG3L2"
"TMEM167B","TMEM167B"
"PROK1","PROK1"
"LAMTOR5","LAMTOR5"
"TUBB6","TUBB6"
"ST6GALNAC5","ST6GALNAC5"
"SLC16A4","SLC16A4"
"METTL4","METTL4"
"MMP27","MMP27"
"CASD1","CASD1"
"MMP12","MMP12"
"NDC80","NDC80"
"MMP8","MMP8"
"CLUL1","CLUL1"
"RBM15","RBM15"
"TYMS","TYMS"
"MMP1","MMP1"
"ITPRID1","ITPRID1"
"MMP12","MMP3"
"BATF3","BATF3"
"ENOSF1","ENOSF1"
"","ITLN1"
"POU2AF3","POU2AF3"
"PPP1R17","PPP1R17"
"SGCE","SGCE"
"NAF1","NAF1"
"FLVCR1","FLVCR1"
"NPY2R","NPY2R"
"KCNC4","KCNC4"
"GRIA4","GRIA4"
"GRIA2","GRIA2"
"SPATA45","SPATA45"
"NPSR1","NPSR1"
"TRPC6","TRPC6"
"TATDN3","TATDN3"
"RBM46","RBM46"
"IGFBP3","IGFBP3"
"SLC6A17","SLC6A17"
"YES1","YES1"
"BBS9","BBS9"
"SPMIP2","SPMIP2"
"NSL1","NSL1"
"SIK2","SIK2"
"ADCYAP1","ADCYAP1"
"UBL4B","UBL4B"
"COPS5","COPS5"
"UPP1","UPP1"
"FNIP2","FNIP2"
"U6","RNU6-1233P"
"U6","RNU6-117P"
"U6","RNU6-1102P"
"RD3","RD3"
"PSMA8","PSMA8"
"IGFBP1","IGFBP1"
"U6","RNU6-586P"
"U6","RNU6-503P"
"PPP2R1B","PPP2R1B"
"LRRC52","LRRC52"
"SNORD45C","SNORD45C"
"SNORD45B","SNORD45B"
"SNORD45A","SNORD45A"
"MIR186","MIR186"
"eca-mir-8971",""
"PEG10","PEG10"
"VWC2","VWC2"
"PPP1R42","PPP1R42"
"ALX3","ALX3"
"RXRG","RXRG"
"SS18","SS18"
"NPY5R","NPY5R"
"ZPBP","ZPBP"
"GRM3","GRM3"
"TCF24","TCF24"
"STRIP1","STRIP1"
"SPMIP7","SPMIP7"
"NPY1R","NPY1R"
"UCK2","UCK2"
"BTG4","BTG4"
"ELAPOR2","ELAPOR2"
"MCMDC2","MCMDC2"
"MAP9","MAP9"
"TAF4B","TAF4B"
"SGK3","SGK3"
"ABCA13","ABCA13"
"HOATZ","HOATZ"
"SFRP2","SFRP2"
"GLRA3","GLRA3"
"ALDH9A1","ALDH9A1"
"LAYN","LAYN"
"RNF175","RNF175"
"KLHL2","KLHL2"
"KCTD1","KCTD1"
"TLR2","TLR2"
"ANLN","ANLN"
"MGST3","MGST3"
"POU2AF2","POU2AF2"
"MYOM1","MYOM1"
"MSANTD4","MSANTD4"
"LRAT","LRAT"
"PROX1","PROX1"
"VCPIP1","VCPIP1"
"WDR47","WDR47"
"KBTBD3","KBTBD3"
"AASDHPPT","AASDHPPT"
"DMTF1","DMTF1"
"","CD55"
"C2H4orf46","C4orf46"
"MATCAP2","MATCAP2"
"SULF1","SULF1"
"ETFDH","ETFDH"
"CASP1","CARD16"
"CASP1","CASP1"
"TMEM192","TMEM192"
"ADCY1","ADCY1"
"ADAM29","ADAM29"
"AKNAD1","AKNAD1"
"NPY","NPY"
"AOAH","AOAH"
"RPS6KC1","RPS6KC1"
"TRIM75","TRIM75"
"MYL12A","MYL12A"
"GPNMB","GPNMB"
"CLCC1","CLCC1"
"TMEM243","TMEM243"
"CIDEA","CIDEA"
"SLCO5A1","SLCO5A1"
"CROT","CROT"
"","MGST2"
"RXFP1","RXFP1"
"C4H7orf25","C7orf25"
"GPSM2","GPSM2"
"","CASP12"
"MPPE1","MPPE1"
"OSBPL3","OSBPL3"
"MRPL32","MRPL32"
"","CASP4"
"","CASP5"
"HECW1","HECW1"
"VASH2","VASH2"
"VSTM5","VSTM5"
"DPY19L1","DPY19L1"
"CEP350","CEP350"
"TRIM61","TRIM61"
"ANGPTL5","ANGPTL5"
"","ABCB4"
"TRPA1","TRPA1"
"PRPF38B","STXBP3"
"CEP126","CEP126"
"TMEM144","TMEM144"
"APELA",""
"GNAL","GNAL"
"ABCB1","ABCB1"
"ARHGAP42","ARHGAP42"
"FOXN4","FOXN4"
"SMIM31","SMIM31"
"CHMP1B","CHMP1B"
"MSC","MSC"
"ANGEL2","ANGEL2"
"POLM","POLM"
"MTNR1B","MTNR1B"
"","PSMG2"
"FSTL5","FSTL5"
"DPY19L2","DPY19L2"
"FNDC7","FNDC7"
"","KRT19"
"EYA1","EYA1"
"OLFM2","OLFM2"
"FGB","FGB"
"SPOCK3","SPOCK3"
"GLTP","GLTP"
"PBX1","PBX1"
"AEBP1","AEBP1"
"ANKRD29","ANKRD29"
"PRPF38B","PRPF38B"
"PGR","PGR"
"PLRG1","PLRG1"
"HYCC1","HYCC1"
"RUNDC3B","RUNDC3B"
"PANX1","PANX1"
"NPC1","NPC1"
"DCHS2","DCHS2"
"HEPHL1","HEPHL1"
"FBXO21","FBXO21"
"TBX20","TBX20"
"HENMT1","HENMT1"
"POLD2","POLD2"
"","CHMP4B"
"","CHMP4BP1"
"ZC3H12C","ZC3H12C"
"SH3RF1","SH3RF1"
"RAPGEF2","RAPGEF2"
"RMC1","RMC1"
"HERPUD2","HERPUD2"
"FAT3","FAT3"
"EEIG2","EEIG2"
"POU6F2","POU6F2"
"KLHL7","KLHL7"
"CBR4","CBR4"
"TRPV4","TRPV4"
"YAE1","YAE1"
"RDX","RDX"
"SLC25A40","SLC25A40"
"QSOX1","QSOX1"
"RALA","RALA"
"SEPTIN7","SEPTIN7"
"NUP42","NUP42"
"PALLD","PALLD"
"XKR9","XKR9"
"RIOK3","RIOK3"
"LHX4","LHX4"
"NOX4","NOX4"
"SLC25A24","SLC25A24"
"ZMIZ2","ZMIZ2"
"DBF4","DBF4"
"EEPD1","EEPD1"
"LACTB2","TRAM1"
"ACBD6","ACBD6"
"SKAP2","SKAP2"
"TMEM241","TMEM241"
"DDX60L","DDX60L"
"TMEM131L","TMEM131L"
"PPIA",""
"PPP1R9A","PPP1R9A"
"ELMO1","ELMO1"
"H2AZ2","H2AZ2"
"NCOA2","NCOA2"
"","MT1X"
"FAM78B","FAM78B"
"KIAA0040","KIAA0040"
"VAV3","VAV3"
"WIPF3","WIPF3"
"PURB","PURB"
"CABLES1","CABLES1"
"GARIN4","GARIN4"
"TRIM2","TRIM2"
"FKBP14","FKBP14"
"ATF3","ATF3"
"","CCDC201"
"MYO1G","MYO1G"
"TNR","TNR"
"","KRAS"
"RBBP8","RBBP8"
"PKD1L1","PKD1L1"
"NSUN3","NSUN3"
"PON1","PON1"
"PDE1C","PDE1C"
"PLXNA2","PLXNA2"
"TYR","TYR"
"ARL13B","ARL13B"
"GRM5","GRM5"
"GATA6","GATA6"
"HUS1","HUS1"
"PON3","PON3"
"FHDC1","FHDC1"
"CD34","CD34"
"NTNG1","NTNG1"
"","CD46"
"DEUP1","DEUP1"
"MIB1","MIB1"
"ARFIP1","ARFIP1"
"GCK","GCK"
"PON2","PON2"
"STX19","STX19"
"SEZ6L","SEZ6L"
"TIGD4","TIGD4"
"USP28","USP28"
"ASB4","ASB4"
"PROS1","PROS1"
"","PRPS2"
"ABHD3","ABHD3"
"TMEM154","TMEM154"
"PRMT6","PRMT6"
"MYL7","MYL7"
"PDK4","PDK4"
"AVL9","AVL9"
"SNRPD1","SNRPD1"
"FBXW7","FBXW7"
"FDX1","FDX1"
"SUN3","SUN3"
"DYNC1I1","DYNC1I1"
"","CR1"
"C4H7orf57","C7orf57"
"ESCO1","ESCO1"
"SYT6","SYT6"
"ZNF414","ZNF414"
"ARHGAP20","ARHGAP20"
"PLA2G4A","PLA2G4A"
"MYO1F","MYO1F"
"","OR5W2"
"FGG","FGG"
"CTSO","CTSO"
"GREB1L","GREB1L"
"GIT2","GIT2"
"NENF","NENF"
"IRX6","IRX6"
"CDK13","CDK13"
"PACC1","PACC1"
"KCNJ12","KCNJ18"
"KCNJ12","KCNJ12"
"N4BP1","N4BP1"
"HIPK1","HIPK1"
"INMT","INMT"
"PPP2R5A","PPP2R5A"
"TDO2","TDO2"
"CBLN1","CBLN1"
"MPLKIP","MPLKIP"
"SLC25A13","SLC25A13"
"ASIC5","ASIC5"
"ADAMTS10","ADAMTS10"
"C3H16orf78","C16orf78"
"GUCY1B1","GUCY1B1"
"MAP2K3","MAP2K3"
"SUGCT","SUGCT"
"RPGRIP1L","RPGRIP1L"
"NCAM1","NCAM1"
"GUCY1A1","GUCY1A1"
"DTL","DTL"
"","PLP2"
"MINDY4","MINDY4"
"Metazoa_SRP","RN7SL703P"
"Metazoa_SRP","RN7SL22P"
"HNRNPM","HNRNPM"
"U6","RNU6-940P"
"SNORD87","SNORD87"
"POU2AF1","POU2AF1"
"DHRS7B","DHRS7B"
"GASK1B","GASK1B"
"ROCK1","ROCK1"
"U6","RNU6-550P"
"FZD1","FZD1"
"FGA","FGA"
"FTO","FTO"
"MIR2052","MIR2052"
"HOXA1","HOXA1"
"GLRB","GLRB"
"HOXA2","HOXA2"
"INTS7","INTS7"
"OLFML3","OLFML3"
"HOXA3","HOXA3"
"PLEKHA8","PLEKHA8"
"DCLRE1B","DCLRE1B"
"IRX3","IRX3"
"PDGFC","PDGFC"
"MTERF1","MTERF1"
"HERPUD1","HERPUD1"
"","RPL21"
"AQP1","AQP1"
"","TEDDM1"
"GLUL","GLUL"
"","RAMP3"
"AP4B1","AP4B1"
"TMEM11","TMEM11"
"NUP93","NUP93"
"AKAP9","AKAP9"
"TKTL2","TKTL2"
"INHBA","INHBA"
"GHRHR","GHRHR"
"FAM222A","FAM222A"
"TTC12","TTC12"
"MARCHF2","MARCHF2"
"PTPN22","PTPN22"
"GLI3","GLI3"
"HOXA5","HOXA5"
"TCHP","TCHP"
"NATD1","NATD1"
"CENPF","CENPF"
"ADCYAP1R1","ADCYAP1R1"
"HOXA6","HOXA6"
"RGSL1","RGSL1"
"EED","EED"
"TNFRSF13B","TNFRSF13B"
"HOXA7","HOXA7"
"ABCC11","ABCC11"
"TRA2A","TRA2A"
"PTPN14","PTPN14"
"CRYBA4","CRYBA4"
"USP22","USP22"
"VPS41","VPS41"
"LONP2","LONP2"
"LMX1A","LMX1A"
"CCDC126","CCDC126"
"SMYD2","SMYD2"
"ME3","ME3"
"RNASEL","RNASEL"
"ANKK1","ANKK1"
"SIAH1","SIAH1"
"CRYBB1","CRYBB1"
"SLC30A1","SLC30A1"
"UTP25","UTP25"
"FAM221A","FAM221A"
"","MYL9"
"LPGAT1","LPGAT1"
"MT3","MT3"
"GRK3","GRK3"
"","MT1E"
"HTR3A","HTR3A"
"RALGPS2","RALGPS2"
"NEK2","NEK2"
"NEUROD6","NEUROD6"
"STK31","STK31"
"BMPER","BMPER"
"RSBN1","RSBN1"
"HEATR3","HEATR3"
"ZBTB16","ZBTB16"
"ANGPTL1","ANGPTL1"
"INSC","INSC"
"eca-mir-9108",""
"MVK","MVK"
"ZNF648","ZNF648"
"KCNK2","KCNK2"
"PHTF1","PHTF1"
"CCDC81","CCDC81"
"ZNF648",""
"TAX1BP1","TAX1BP1"
"TENT4B","TENT4B"
"NNMT",""
"ARPC5","ARPC5"
"CYP51A1","CYP51A1"
"MMAB","MMAB"
"ADCY7","ADCY7"
"NECTIN1","NECTIN1"
"TRAF5","TRAF5"
"YKT6","YKT6"
"RGL1","RGL1"
"RCOR3","RCOR3"
"JAZF1","JAZF1"
"TPST2","TPST2"
"CAMK2B","CAMK2B"
"BRD7","BRD7"
"LRRD1","LRRD1"
"GPR141","GPR141"
"SLC36A4","SLC36A4"
"U6","RNU6-1258P"
"DKK3","DKK3"
"U6","RNU6-640P"
"","TLR2"
"MFRP","C1QTNF5"
"KRIT1","KRIT1"
"APOBEC4","APOBEC4"
"ANO5","ANO5"
"PPID","PPID"
"KCNH1","KCNH1"
"MAGI3","MAGI3"
"MED17","MED17"
"U6","RNU6-48P"
"U6","RNU6-378P"
"U6","RNU6-27P"
"U6","RNU6-609P"
"TFIP11","TFIP11"
"eca-mir-1597",""
"COLGALT2","COLGALT2"
"eca-mir-1-1","MIR1-2"
"MIR133A1","MIR133A1"
"MND1","MND1"
"THAP5","THAP5"
"CYCS",""
"SMCHD1","SMCHD1"
"USP2","USP2"
"UBE3B","UBE3B"
"SPMIP4","SPMIP4"
"IMMP2L","IMMP2L"
"NPVF","NPVF"
"C7H11orf54","C11orf54"
"SDHD","SDHD"
"TSEN15","TSEN15"
"ANKIB1","ANKIB1"
"TRIL","TRIL"
"HHAT","HHAT"
"CPVL","CPVL"
"MYL12B","MYL12B"
"ALG9","ALG9"
"SRRD","SRRD"
"NUDCD3","NUDCD3"
"IMPA2","IMPA2"
"LRRN3","LRRN3"
"CYB561D1","CYB561D1"
"THY1","THY1"
"SLC17A6","SLC17A6"
"TMBIM7",""
"KLF7","KLF7"
"AMPD2","AMPD2"
"PAPPA2","PAPPA2"
"DRD2","DRD2"
"GATAD1","GATAD1"
"CHN2","CHN2"
"NPC1L1","NPC1L1"
"TEAD1","TEAD1"
"KCTD10","KCTD10"
"TAF1D","TAF1D"
"PEX1","PEX1"
"DOCK4","DOCK4"
"ASTN1","ASTN1"
"NNMT","NNMT"
"CREB1","CREB1"
"GNAT2","GNAT2"
"CEP295","CEP295"
"DDX56","DDX56"
"TMPRSS5","TMPRSS5"
"HPS4","HPS4"
"GNAI3","GNAI3"
"SERTAD4","SERTAD4"
"GALNT18","GALNT18"
"HHIP","HHIP"
"BRINP2","BRINP2"
"SYT14","SYT14"
"METTL21A","METTL21A"
"GPR61","GPR61"
"SYNM","SYNM"
"RBM48","RBM48"
"HOXA9","HOXA9"
"POU4F2","POU4F2"
"IRF6","IRF6"
"ZNF330","ZNF330"
"C5H1orf74","C1orf74"
"AMIGO1","AMIGO1"
"IQCM","IQCM"
"TMED4","TMED4"
"SMAD1","SMAD1"
"EDEM3","EDEM3"
"TTC23","TTC23"
"SYPL2","SYPL2"
"HOXA10","HOXA10"
"TRAF3IP3","TRAF3IP3"
"C7H11orf71","C11orf71"
"PLEKHM3","PLEKHM3"
"MYO1H","MYO1H"
"PSMA5","PSMA5"
"RBM7","RBM7"
"TBC1D9","TBC1D9"
"OGDH","OGDH"
"USP47","USP47"
"HOXA13","HOXA13"
"TMEM135","TMEM135"
"HOXA11","HOXA11"
"ZW10","ZW10"
"EVX1","EVX1"
"PSRC1","PSRC1"
"RNF150","RNF150"
"HIBADH","HIBADH"
"REXO2","REXO2"
"FZD5","FZD5"
"NIBAN1","NIBAN1"
"POLR1F","POLR1F"
"LRRC28","LRRC28"
"LPCAT2","LPCAT2"
"SORT1","SORT1"
"TMEM196",""
"USP38","USP38"
"MACC1","MACC1"
"MDH1B","MDH1B"
"MYBPHL","MYBPHL"
"NXPE1","NXPE1"
"MMP2","MMP2"
"RNF2","RNF2"
"GYPA","GYPB"
"GYPA","GYPE"
"GYPA","GYPA"
"NXPE4","NXPE4"
"ITGB8","ITGB8"
"CELSR2","CELSR2"
"HSD11B1","HSD11B1"
"GATB","GATB"
"ISCU",""
"FASTKD2","FASTKD2"
"FDXACB1","FDXACB1"
"ZNF277","ZNF277"
"","ACTB"
"SLC6A2","SLC6A2"
"LAMB3","LAMB3"
"CRYGC","CRYGC"
"CFAP68","CFAP68"
"OTUD7A","OTUD7A"
"STK17A","STK17A"
"CRYGB",""
"SART3","SART3"
"CRYGB","CRYGA"
"CADM1","CADM1"
"DIXDC1","DIXDC1"
"","ABCB5"
"FHIP1A","FHIP1A"
"","CHRNA7"
"","CHRFAM7A"
"LSMEM1","LSMEM1"
"C18H2orf80","C2orf80"
"SP8","SP8"
"IFRD1","IFRD1"
"TRMT1L","TRMT1L"
"IDH1","IDH1"
"COA1","COA1"
