"gene","type"
"Desmosterol-DHCR7","ligand"
"DOC-CYP21A2","ligand"
"DHEAS-SULT1E1","ligand"
"DHEAS-SULT2A1","ligand"
"DHT-SRD5A1","ligand"
"DHT-SRD5A2","ligand"
"DHT-SRD5A3","ligand"
"E2-CYP19A1","ligand"
"Melatonin-ASMT","ligand"
"Pregnenolone-CYP11A1","ligand"
"5-HT-DOPA-DDC","ligand"
"Testosterone-AKR1D1","ligand"
"Testosterone-HSD17B12","ligand"
"Testosterone-HSD17B3","ligand"
"T3-DIO3","ligand"
"APP","ligand"
"CADM1","both"
"CADM3","both"
"FCER2","ligand"
"CD34","both"
"ENTPD1","ligand"
"PTPRC","ligand"
"CD46","ligand"
"CD48","ligand"
"CD6","ligand"
"CD80","ligand"
"CD86","ligand"
"CD96","ligand"
"CD99","both"
"CDH15","both"
"CDH4","both"
"CDH2","both"
"CDH1","both"
"CDH5","both"
"CLDN11","both"
"CLEC2B","ligand"
"CLEC2L","ligand"
"NFASC","ligand"
"CNTN2","both"
"CNTN1","ligand"
"CSPG4","ligand"
"DSC1","ligand"
"DSC2","ligand"
"DSC3","ligand"
"EPGN","ligand"
"EFNA1","ligand"
"EFNA3","ligand"
"EFNA4","ligand"
"EFNA5","ligand"
"EFNB1","ligand"
"EFNB2","ligand"
"EFNB3","ligand"
"ESAM","both"
"GP1BA","ligand"
"ICAM1","ligand"
"ICAM2","ligand"
"ICAM5","ligand"
"ICOSLG","ligand"
"JAM2","both"
"JAM3","both"
"F11R","both"
"L1CAM","both"
"LCK","ligand"
"HLA-DMA","ligand"
"HLA-DMB","ligand"
"HLA-DRA","ligand"
"MPZ","both"
"MPZL1","both"
"NCAM1","both"
"NCAM2","both"
"NECTIN1","both"
"NECTIN3","both"
"NECTIN2","both"
"NEGR1","both"
"LRRC4C","ligand"
"LRRC4","ligand"
"LRRC4B","ligand"
"DLK1","ligand"
"DLL1","ligand"
"DLL3","ligand"
"DLL4","ligand"
"JAG1","both"
"JAG2","ligand"
"NRXN1","ligand"
"NRXN2","ligand"
"NRXN3","ligand"
"OCLN","both"
"CD274","both"
"PDCD1LG2","ligand"
"PECAM1","both"
"PTPRM","both"
"PVR","both"
"SELE","both"
"SELL","both"
"SELPLG","ligand"
"SEMA4A","ligand"
"SEMA4D","ligand"
"SEMA4C","ligand"
"SEMA4G","ligand"
"SEMA5A","ligand"
"SEMA5B","ligand"
"SEMA6D","ligand"
"SEMA6A","ligand"
"SEMA6B","ligand"
"SEMA7A","ligand"
"THY1","ligand"
"ITGA4_ITGB1","both"
"ITGA9_ITGB1","both"
"ITGA4_ITGB7","both"
"VSIR","ligand"
"CDH3","both"
"CDH12","ligand"
"GJA5","both"
"GJA1","both"
"GJC1","both"
"GJA3","both"
"CLDN1","both"
"PCDHA3","both"
"PCDHB1","both"
"PCDHB2","both"
"PCDHB3","both"
"PCDHB4","both"
"PCDHB5","both"
"PCDHB6","both"
"PCDHB7","both"
"PCDHB8","both"
"PCDHGC3","both"
"SDC1","both"
"SDC2","both"
"ITGAV_ITGB3","both"
"TAX1BP3","ligand"
"RTN4R","ligand"
"ITGAV_ITGB5","both"
"C1QL1","ligand"
"C1QL4","ligand"
"CD55","ligand"
"LPAR1","ligand"
"LPAR2","ligand"
"LPAR3","ligand"
"ITGAV_ITGB1","both"
"TGM2","ligand"
"PRNP","ligand"
"FLRT1","both"
"FLRT2","both"
"FLRT3","both"
"TENM1","ligand"
"TENM2","ligand"
"TENM3","ligand"
"TENM4","ligand"
"TENM2_FLRT1","ligand"
"TENM2_FLRT3","ligand"
"TENM4_FLRT1","ligand"
"TENM4_FLRT3","ligand"
"UNC5A","both"
"TENM3_FLRT1","ligand"
"TENM3_FLRT3","ligand"
"LRFN4","ligand"
"LRFN5","ligand"
"APOA1","ligand"
"APOB","ligand"
"APOE","ligand"
"CD160","ligand"
"CD276","ligand"
"MMP2","ligand"
"NTN1","ligand"
"NTN4","ligand"
"CD200","ligand"
"VCAM1","both"
"TGFbR1_R2","receptor"
"ACVR1B_TGFbR2","receptor"
"ACVR1C_TGFbR2","receptor"
"ACVR1_TGFbR","receptor"
"BMPR1A_ACVR2A","receptor"
"BMPR1A_ACVR2B","receptor"
"BMPR1A_BMPR2","receptor"
"BMPR1B_ACVR2A","receptor"
"BMPR1B_ACVR2B","receptor"
"BMPR1B_BMPR2","receptor"
"ACVR1_ACVR2A","receptor"
"ACVR1_ACVR2B","receptor"
"ACVR1_BMPR2","receptor"
"ACVRL1_BMPR2","receptor"
"ACVRL1_ACVR2A","receptor"
"ACVR1B_BMPR2","receptor"
"ACVR1B_ACVR2A","receptor"
"TGFBR1_ACVR2A","receptor"
"TGFBR1_ACVR2B","receptor"
"ACVR1B_ACVR2B","receptor"
"TGFBR2","receptor"
"AMHR2_ACVR1","receptor"
"AMHR2_BMPR1A","receptor"
"GFRA1_RET","receptor"
"GFRA2_RET","receptor"
"GFRA3_RET","receptor"
"ACVR1B_ACVR2A_CFC1","receptor"
"ACVR1C_ACVR2A_CFC1","receptor"
"ACVR1B_ACVR2B_CFC1","receptor"
"ACVR1C_ACVR2B_CFC1","receptor"
"ACVR1C_ACVR2A","receptor"
"ACVR1C_ACVR2B","receptor"
"ACVR2A","receptor"
"ACVR2B","receptor"
"FZD1_LRP5","receptor"
"FZD10_LRP5","receptor"
"FZD2_LRP5","receptor"
"FZD3_LRP5","receptor"
"FZD4_LRP5","receptor"
"FZD5_LRP5","receptor"
"FZD6_LRP5","receptor"
"FZD7_LRP5","receptor"
"FZD8_LRP5","receptor"
"FZD9_LRP5","receptor"
"FZD1_LRP6","receptor"
"FZD10_LRP6","receptor"
"FZD2_LRP6","receptor"
"FZD3_LRP6","receptor"
"FZD4_LRP6","receptor"
"FZD5_LRP6","receptor"
"FZD6_LRP6","receptor"
"FZD7_LRP6","receptor"
"FZD8_LRP6","receptor"
"FZD9_LRP6","receptor"
"FZD1","receptor"
"FZD10","receptor"
"FZD3","receptor"
"FZD4","receptor"
"FZD6","receptor"
"FZD7","receptor"
"FZD8","receptor"
"MCAM","receptor"
"EGFR","receptor"
"EGFR_ERBB2","receptor"
"ERBB4","receptor"
"ERBB2_ERBB4","receptor"
"ERBB3","receptor"
"ERBB2_ERBB3","receptor"
"FGFR1","receptor"
"FGFR2","receptor"
"FGFR3","receptor"
"FGFR4","receptor"
"PDGFRA","receptor"
"PDGFRB","receptor"
"FLT1","receptor"
"KDR","receptor"
"FLT4","receptor"
"FLT1_KDR","receptor"
"FLT4_KDR","receptor"
"IGF1R","receptor"
"ITGA6_ITGB4","receptor"
"PTCH1_SMO","receptor"
"PTCH2_SMO","receptor"
"CCR1","receptor"
"CCR2","receptor"
"CCR3","receptor"
"CCR4","receptor"
"CCR5","receptor"
"CCR6","receptor"
"CCR7","receptor"
"ACKR4","receptor"
"CCR9","receptor"
"CCR10","receptor"
"ACKR1","receptor"
"ACKR2","receptor"
"CXCR2","receptor"
"CXCR3","receptor"
"CXCR4","receptor"
"ACKR3","receptor"
"CXCR6","receptor"
"CD74_CXCR4","receptor"
"CD74_CD44","receptor"
"CD74_CXCR2","receptor"
"CX3CR1","receptor"
"XCR1","receptor"
"IL2RA_IL2RB","receptor"
"IL2RB_IL2RG","receptor"
"IL4R_IL2RG","receptor"
"IL15RA_IL2RB","receptor"
"IL7R_CRLF2","receptor"
"IL5RA_CSF2RB","receptor"
"CSF2RA_CSF2RB","receptor"
"IL4R","receptor"
"IL4R_IL13RA1","receptor"
"IL4R_IL13RA2","receptor"
"IL13RA1","receptor"
"IL13RA2","receptor"
"IL12RB1_IL12RB2","receptor"
"IL23R_IL12RB1","receptor"
"IL27RA_IL6ST","receptor"
"IL31RA_OSMR","receptor"
"CNTFR_LIFR","receptor"
"LIFR_IL6ST","receptor"
"IL10RA_IL10RB","receptor"
"IL20RA_IL20RB","receptor"
"IL22RA1_IL10RB","receptor"
"IL20RA_IL10RB","receptor"
"IL1R1_IL1RAP","receptor"
"IL1R2","receptor"
"IL1RL2_IL1RAP","receptor"
"IL18R1_IL18RAP","receptor"
"IL1RL1_IL1RAP","receptor"
"IL17RA_IL17RE","receptor"
"IL17RA_IL17RB","receptor"
"CSF1R","receptor"
"CD4","receptor"
"GHR","receptor"
"PRLR","receptor"
"MPL","receptor"
"CSF3R","receptor"
"IFNAR1_IFNAR2","receptor"
"TNFRSF1A","receptor"
"TNFRSF1B","receptor"
"TNFRSF14","receptor"
"LTBR","receptor"
"FAS","receptor"
"TNFRSF25","receptor"
"EDAR","receptor"
"EDA2R","receptor"
"NGFR","receptor"
"TNFRSF11A","receptor"
"TNFRSF11B","receptor"
"TNFRSF8","receptor"
"TNFRSF9","receptor"
"TNFRSF17","receptor"
"TNFRSF13B","receptor"
"CD44","receptor"
"ITGAV_ITGB6","receptor"
"ITGA8_ITGB1","receptor"
"ITGA5_ITGB1","receptor"
"ADIPOR1","receptor"
"ADIPOR2","receptor"
"ITGA1_ITGB1","receptor"
"CDH11","receptor"
"SDC3","receptor"
"SDC4","receptor"
"TEK","receptor"
"PTPRZ1","receptor"
"ITGA6_ITGB1","receptor"
"LRP1","receptor"
"ALK","receptor"
"AGTR1","receptor"
"GRPR","receptor"
"NMBR","receptor"
"BDKRB1","receptor"
"BDKRB2","receptor"
"C5AR1","receptor"
"CCKBR","receptor"
"EDNRA","receptor"
"EDNRB","receptor"
"GALR1","receptor"
"GALR2","receptor"
"GHSR","receptor"
"MC1R","receptor"
"MC2R","receptor"
"MC4R","receptor"
"MC5R","receptor"
"NMUR1","receptor"
"NMUR2","receptor"
"NPFFR1","receptor"
"NPFFR2","receptor"
"NPY1R","receptor"
"NPY2R","receptor"
"NPY4R","receptor"
"NPY5R","receptor"
"GPR83","receptor"
"NTSR1","receptor"
"NTSR2","receptor"
"OPRD1","receptor"
"OPRK1","receptor"
"OPRL1","receptor"
"TACR1","receptor"
"TACR2","receptor"
"TACR3","receptor"
"PRLHR","receptor"
"F2R","receptor"
"F2RL2","receptor"
"F2RL3","receptor"
"PARD3","receptor"
"MCHR1","receptor"
"PROKR2","receptor"
"PROKR1","receptor"
"ADCYAP1R1","receptor"
"VIPR1","receptor"
"VIPR2","receptor"
"NPR1","receptor"
"KIT","receptor"
"GIPR","receptor"
"FSHR","receptor"
"LHCGR","receptor"
"NTRK1","receptor"
"FLT3","receptor"
"MET","receptor"
"NTRK2","receptor"
"NTRK3","receptor"
"NRP1_PLXNA1","receptor"
"NRP1_PLXNA2","receptor"
"NRP1_PLXNA3","receptor"
"NRP1_PLXNA4","receptor"
"NRP2_PLXNA1","receptor"
"NRP2_PLXNA2","receptor"
"NRP2_PLXNA3","receptor"
"NRP2_PLXNA4","receptor"
"NRP1_NRP2","receptor"
"PLXND1","receptor"
"APLNR","receptor"
"CRHR1","receptor"
"CRHR2","receptor"
"GPR19","receptor"
"AXL","receptor"
"MERTK","receptor"
"TYRO3","receptor"
"GCGR","receptor"
"GLP1R","receptor"
"GLP2R","receptor"
"GHRHR","receptor"
"SORT1","receptor"
"CALCR","receptor"
"CALCRL","receptor"
"RXFP2","receptor"
"RXFP1","receptor"
"RXFP4","receptor"
"NPSR1","receptor"
"NPR3","receptor"
"GPR37L1","receptor"
"GPR37","receptor"
"PTH1R","receptor"
"PTH2R","receptor"
"QRFPR","receptor"
"CMKLR1","receptor"
"SCTR","receptor"
"NCR3","receptor"
"CALCR_RAMP1","receptor"
"CALCR_RAMP2","receptor"
"CALCR_RAMP3","receptor"
"CALCRL_RAMP1","receptor"
"CALCRL_RAMP2","receptor"
"CALCRL_RAMP3","receptor"
"PROCR_HSP90AA1","receptor"
"PROCR_F2R","receptor"
"PTPRD","receptor"
"TMEM219","receptor"
"AMHR2_BMPR1B","receptor"
"BSG","receptor"
"PROCR","receptor"
"ROBO1","receptor"
"ROBO2","receptor"
"PLAUR","receptor"
"ITGA2_ITGB1","receptor"
"ITGA3_ITGB1","receptor"
"ITGA7_ITGB1","receptor"
"ITGA10_ITGB1","receptor"
"ITGA11_ITGB1","receptor"
"ITGA2B_ITGB3","receptor"
"ITGAV_ITGB8","receptor"
"SV2A","receptor"
"SV2B","receptor"
"SV2C","receptor"
"CD36","receptor"
"GP complex","receptor"
"GP6","receptor"
"CD47","receptor"
"DAG1","receptor"
"LRP8","receptor"
"VLDLR","receptor"
"CHRN_A1_2B1DE","receptor"
"CHRN_A1_2B1DG","receptor"
"CHRN_A3B4","receptor"
"CHRN_A4B2","receptor"
"GABR_A1B3G2","receptor"
"GABR_A1B2G2","receptor"
"GABR_A1B2","receptor"
"GABR_A1B3","receptor"
"GABR_A1B2D","receptor"
"GABR_A2B3G2","receptor"
"GABR_A3B3G2","receptor"
"GABR_A3B3Q","receptor"
"GABR_A3B3E","receptor"
"GABR_A4B3G2","receptor"
"GABR_A4B3D","receptor"
"GABR_A4B2D","receptor"
"GABR_A5B3G2","receptor"
"GABR_A6B3G2","receptor"
"GABR_A6B3D","receptor"
"GLRA1_GLRB","receptor"
"GLRA2","receptor"
"ADORA1","receptor"
"ADORA2A","receptor"
"ADORA2B","receptor"
"ADRA1A","receptor"
"ADRA1B","receptor"
"ADRA1D","receptor"
"ADRA2A","receptor"
"ADRA2C","receptor"
"ADRB1","receptor"
"ADRB2","receptor"
"ADRB3","receptor"
"CHRM1","receptor"
"CHRM2","receptor"
"CHRM3","receptor"
"CHRM4","receptor"
"CHRM5","receptor"
"CYSLTR1","receptor"
"CYSLTR2","receptor"
"DRD1","receptor"
"DRD2","receptor"
"DRD3","receptor"
"DRD4","receptor"
"DRD5","receptor"
"GABBR1","receptor"
"GABBR2","receptor"
"GRIA1","receptor"
"GRIA2","receptor"
"GRIA3","receptor"
"GRIA4","receptor"
"GRID2","receptor"
"GRIK1","receptor"
"GRIK2","receptor"
"GRIK3","receptor"
"GRM1","receptor"
"GRM2","receptor"
"GRM3","receptor"
"GRM4","receptor"
"GRM5","receptor"
"GRM6","receptor"
"GRM7","receptor"
"GRM8","receptor"
"HRH1","receptor"
"HRH2","receptor"
"HRH3","receptor"
"HTR1A","receptor"
"HTR1D","receptor"
"HTR1E","receptor"
"HTR1F","receptor"
"HTR2A","receptor"
"HTR2B","receptor"
"HTR2C","receptor"
"HTR4","receptor"
"HTR5A","receptor"
"HTR7","receptor"
"LTB4R","receptor"
"PTGDR","receptor"
"PTGER1","receptor"
"PTGER2","receptor"
"PTGER3","receptor"
"PTGER4","receptor"
"PTGFR","receptor"
"PTGIR","receptor"
"TBXA2R","receptor"
"GRIK1_GRIK4","receptor"
"GRIK2_GRIK4","receptor"
"GRIK3_GRIK4","receptor"
"GRIK1_GRIK5","receptor"
"GRIK2_GRIK5","receptor"
"GRIK3_GRIK5","receptor"
"GRIN1_GRIN2A","receptor"
"GRIN1_GRIN2B","receptor"
"GRIN1_GRIN2C","receptor"
"GRIN1_GRIN2D","receptor"
"NR1H4","receptor"
"CNR1","receptor"
"CNR2","receptor"
"GPR55","receptor"
"PGR","receptor"
"NR3C1","receptor"
"NR3C2","receptor"
"AR","receptor"
"RARA_CRABP2","receptor"
"RARA_RXRA_CRABP2","receptor"
"RARB_CRABP2","receptor"
"RARB_RXRB_CRABP2","receptor"
"RARG_CRABP2","receptor"
"RARG_RXRG_CRABP2","receptor"
"RXRA_CRABP2","receptor"
"RXRB_CRABP2","receptor"
"RXRG_CRABP2","receptor"
"RORB","receptor"
"RORA","receptor"
"RORC","receptor"
"ESR1","receptor"
"NR1I2","receptor"
"PPARA","receptor"
"NR1H2","receptor"
"NR1H3","receptor"
"PPARD","receptor"
"PPARG","receptor"
"ESR2","receptor"
"GPER1","receptor"
"MTNR1A","receptor"
"MTNR1B","receptor"
"HTR3A","receptor"
"HTR3B","receptor"
"THRA","receptor"
"THRB","receptor"
"CD74","receptor"
"ITGAM_ITGB2","receptor"
"ITGAX_ITGB2","receptor"
"SELP","receptor"
"TMIGD3","receptor"
"CD22","receptor"
"MRC1","receptor"
"CD244","receptor"
"ALCAM","receptor"
"CD28","receptor"
"CTLA4","receptor"
"PILRA","receptor"
"CD99L2","receptor"
"ITGAE_ITGB7","receptor"
"KLRG1","receptor"
"KLRB1","receptor"
"CNTN1_CNTNAP1","receptor"
"CNTN2_CNTNAP2","receptor"
"NRCAM","receptor"
"DSG1","receptor"
"DSG2","receptor"
"EPHA1","receptor"
"EPHA2","receptor"
"EPHA3","receptor"
"EPHA4","receptor"
"EPHA5","receptor"
"EPHA7","receptor"
"EPHA8","receptor"
"EPHB2","receptor"
"EPHB1","receptor"
"EPHB3","receptor"
"EPHB4","receptor"
"EPHB6","receptor"
"ITGAL_ITGB2","receptor"
"ITGAL","receptor"
"CD209","receptor"
"ICOS","receptor"
"CD8 receptor","receptor"
"NECTIN4","receptor"
"TIGIT","receptor"
"CD226","receptor"
"NTNG1","receptor"
"NTNG2","receptor"
"PTPRF","receptor"
"NOTCH1","receptor"
"NOTCH2","receptor"
"NOTCH3","receptor"
"NOTCH4","receptor"
"NLGN1","receptor"
"NLGN2","receptor"
"NLGN3","receptor"
"PDCD1","receptor"
"GLG1","receptor"
"PODXL","receptor"
"PLXNB1","receptor"
"PLXNB2","receptor"
"PLXNB3","receptor"
"CD72","receptor"
"PLXNA1","receptor"
"PLXNA3","receptor"
"PLXNA1_KDR","receptor"
"PLXNA1_TREM2","receptor"
"PLXNA2","receptor"
"PLXNA4","receptor"
"ITGB1_ITGA1","receptor"
"PLXNC1","receptor"
"IGSF11","receptor"
"DSG3","receptor"
"DSG4","receptor"
