horse_symbol,horse_gene_id,human_gene_id,human_symbol,status
ABCC11,100057458,85320.0,ABCC11,OK
ABCC12,100057417,94160.0,ABCC12,OK
ABCC13,100068696,,,NO_ORTHOLOG
ABCC2,100060654,1244.0,ABCC2,OK
ABCC3,100070025,8714.0,ABCC3,OK
ABCC4,100050431,10257.0,ABCC4,OK
ABCC5,100066941,10057.0,ABCC5,OK
ABCC6,100053637,368.0,ABCC6,OK
ABCC8,100071788,6833.0,ABCC8,OK
ABCC9,100064351,,,NO_ORTHOLOG
ABCD1,100058868,215.0,ABCD1,OK
ABCD2,100070407,225.0,ABCD2,OK
ABCD3,100058542,5825.0,ABCD3,OK
ABCD4,100056775,5826.0,ABCD4,OK
ABCE1,100062815,6059.0,ABCE1,OK
ABCF1,100147183,23.0,ABCF1,OK
ABCF2,100063507,10061.0,ABCF2,OK
ABCF3,100067030,55324.0,ABCF3,OK
ABCG1,100058103,9619.0,ABCG1,OK
ABCG2,100034164,9429.0,ABCG2,OK
ABCG4,100146118,64137.0,ABCG4,OK
ABCG5,100069091,64240.0,ABCG5,OK
ABCG8,100069071,64241.0,ABCG8,OK
ABHD1,100071286,84696.0,ABHD1,OK
ABHD10,100071551,55347.0,ABHD10,OK
ABHD11,100061925,83451.0,ABHD11,OK
ABHD12,100057168,26090.0,ABHD12,OK
ABHD12B,100066699,145447.0,ABHD12B,OK
ABHD13,100065368,84945.0,ABHD13,OK
ABHD14A,100629427,25864.0,ABHD14A,OK
ABHD14B,100052116,84836.0,ABHD14B,OK
ABHD15,100072155,116236.0,ABHD15,OK
ABHD16A,100058736,7920.0,ABHD16A,OK
ABHD16B,102150787,140701.0,ABHD16B,OK
ABHD17A,100146322,81926.0,ABHD17A,OK
ABHD17B,100050162,51104.0,ABHD17B,OK
ABHD17C,100067399,58489.0,ABHD17C,OK
ABHD18,100147128,80167.0,ABHD18,OK
ABHD2,100053880,11057.0,ABHD2,OK
ABHD3,100060329,171586.0,ABHD3,OK
ABHD4,100056825,63874.0,ABHD4,OK
ABHD5,100066775,51099.0,ABHD5,OK
ABHD6,100057821,57406.0,ABHD6,OK
ABHD8,100070083,79575.0,ABHD8,OK
ABI1,100055377,10006.0,ABI1,OK
ABI2,111768803,10152.0,ABI2,OK
ABI3,100069674,51225.0,ABI3,OK
ABI3BP,100062052,25890.0,ABI3BP,OK
ABITRAM,100059203,54942.0,ABITRAM,OK
ABL1,100069715,25.0,ABL1,OK
ABL2,100053033,27.0,ABL2,OK
ABLIM1,100058994,3983.0,ABLIM1,OK
ABLIM2,100070368,84448.0,ABLIM2,OK
ABLIM3,100071715,22885.0,ABLIM3,OK
ABO,102149124,,,NO_ORTHOLOG
ABR,100059804,29.0,ABR,OK
ABRA,100056433,137735.0,ABRA,OK
ABRACL,100629285,58527.0,ABRACL,OK
ABRAXAS1,100061483,84142.0,ABRAXAS1,OK
ABRAXAS2,100057158,23172.0,ABRAXAS2,OK
ABT1,100053564,29777.0,ABT1,OK
ABTB1,100049815,80325.0,ABTB1,OK
ABTB2,100060581,25841.0,ABTB2,OK
ABTB3,100054002,121551.0,ABTB3,OK
ACAA1,100050082,30.0,ACAA1,OK
ACAA2,100069345,10449.0,ACAA2,OK
ACACA,100071472,31.0,ACACA,OK
ACACB,100066740,32.0,ACACB,OK
ACAD10,100057702,80724.0,ACAD10,OK
ACAD11,100629864,84129.0,ACAD11,OK
ACAD8,100072888,27034.0,ACAD8,OK
ACADL,100066893,33.0,ACADL,OK
ACADM,100067343,34.0,ACADM,OK
ACADS,100147113,35.0,ACADS,OK
ACADSB,100057998,36.0,ACADSB,OK
ACADVL,100061583,37.0,ACADVL,OK
ACAN,100033876,176.0,ACAN,OK
ACAP1,100072970,9744.0,ACAP1,OK
ACAP2,100069317,23527.0,ACAP2,OK
ACAP3,100147589,116983.0,ACAP3,OK
ACAT1,100069718,38.0,ACAT1,OK
ACAT2,100058892,39.0,ACAT2,OK
ACBD3,100058044,64746.0,ACBD3,OK
ACBD4,100064116,79777.0,ACBD4,OK
ACBD5,100055334,91452.0,ACBD5,OK
ACBD6,100053473,84320.0,ACBD6,OK
ACBD7,100630417,414149.0,ACBD7,OK
ACCS,100055831,84680.0,ACCS,OK
ACCSL,100055792,390110.0,ACCSL,OK
ACD,100066184,65057.0,ACD,OK
ACE,100064801,1636.0,ACE,OK
ACE2,100055952,59272.0,ACE2,OK
ACER1,100147512,125981.0,ACER1,OK
ACER2,100063894,340485.0,ACER2,OK
ACER3,100063572,55331.0,ACER3,OK
ACHE,100069149,43.0,ACHE,OK
ACIN1,100055865,22985.0,ACIN1,OK
ACKR1,100057225,2532.0,ACKR1,OK
ACKR2,100067183,1238.0,ACKR2,OK
ACKR3,100057501,57007.0,ACKR3,OK
ACKR4,100146120,51554.0,ACKR4,OK
ACLY,100053195,47.0,ACLY,OK
ACMSD,100050432,130013.0,ACMSD,OK
ACO1,100067866,48.0,ACO1,OK
ACO2,100055803,50.0,ACO2,OK
ACOD1,100052594,730249.0,ACOD1,OK
ACOT11,100060460,26027.0,ACOT11,OK
ACOT12,100073251,134526.0,ACOT12,OK
ACOT13,100629805,55856.0,ACOT13,OK
ACOT4,100050302,122970.0,ACOT4,OK
ACOT6,100056126,641372.0,ACOT6,OK
ACOT7,100059575,11332.0,ACOT7,OK
ACOT8,100056378,10005.0,ACOT8,OK
ACOT9,100060045,23597.0,ACOT9,OK
ACOX1,100051466,51.0,ACOX1,OK
ACOX2,100050425,8309.0,ACOX2,OK
ACOX3,100056690,8310.0,ACOX3,OK
ACOXL,100064086,55289.0,ACOXL,OK
ACP1,100057408,52.0,ACP1,OK
ACP2,100057910,53.0,ACP2,OK
ACP3,100064835,55.0,ACP3,OK
ACP4,100147302,93650.0,ACP4,OK
ACP5,100056621,54.0,ACP5,OK
ACP6,100065568,51205.0,ACP6,OK
ACP7,100066750,390928.0,ACP7,OK
ACR,100057028,49.0,ACR,OK
ACRBP,100052268,84519.0,ACRBP,OK
ACRV1,100072341,56.0,ACRV1,OK
ACSBG1,100050272,23205.0,ACSBG1,OK
ACSBG2,100065344,81616.0,ACSBG2,OK
ACSF2,100069942,80221.0,ACSF2,OK
ACSF3,100051639,197322.0,ACSF3,OK
ACSL1,100057925,2180.0,ACSL1,OK
ACSL3,100056656,2181.0,ACSL3,OK
ACSL4,100054459,2182.0,ACSL4,OK
ACSL5,100059190,51703.0,ACSL5,OK
ACSL6,100063361,23305.0,ACSL6,OK
ACSM3,100068672,,,NO_ORTHOLOG
ACSM4,100068752,341392.0,ACSM4,OK
ACSM5,100147266,54988.0,ACSM5,OK
ACSS1,100057725,84532.0,ACSS1,OK
ACSS2,100054562,55902.0,ACSS2,OK
ACSS3,100061000,79611.0,ACSS3,OK
ACTA1,100065454,58.0,ACTA1,OK
ACTA2,100062175,59.0,ACTA2,OK
ACTB,100033878,60.0,ACTB,OK
ACTBL2,100051557,345651.0,ACTBL2,OK
ACTC1,100057678,70.0,ACTC1,OK
ACTE1,100061466,,,NO_ORTHOLOG
ACTG1,100050139,71.0,ACTG1,OK
ACTG2,100057561,72.0,ACTG2,OK
ACTL10,102148862,170487.0,ACTL10,OK
ACTL11,100062566,,,NO_ORTHOLOG
ACTL6A,100065792,86.0,ACTL6A,OK
ACTL6B,100069035,51412.0,ACTL6B,OK
ACTL7A,100059317,10881.0,ACTL7A,OK
ACTL7B,100059349,10880.0,ACTL7B,OK
ACTL8,100052755,81569.0,ACTL8,OK
ACTL9,100064420,,,NO_ORTHOLOG
ACTMAP,100068235,284325.0,ACTMAP,OK
ACTN1,100053070,87.0,ACTN1,OK
ACTN2,100033870,88.0,ACTN2,OK
ACTN3,100033871,89.0,ACTN3,OK
ACTN4,100066343,81.0,ACTN4,OK
ACTR10,100058966,55860.0,ACTR10,OK
ACTR1A,100069908,10121.0,ACTR1A,OK
ACTR1B,100051108,10120.0,ACTR1B,OK
ACTR2,100063005,10097.0,ACTR2,OK
ACTR3,100033909,10096.0,ACTR3,OK
ACTR3B,100065073,57180.0,ACTR3B,OK
ACTR5,100070271,79913.0,ACTR5,OK
ACTR6,100052662,64431.0,ACTR6,OK
ACTR8,100059386,93973.0,ACTR8,OK
ACTRT1,100054864,139741.0,ACTRT1,OK
ACTRT2,100061240,140625.0,ACTRT2,OK
ACTRT3,100063256,84517.0,ACTRT3,OK
ACVR1,100050899,90.0,ACVR1,OK
ACVR1B,100062619,91.0,ACVR1B,OK
ACVR1C,100059573,130399.0,ACVR1C,OK
ACVR2A,100049823,92.0,ACVR2A,OK
ACVR2B,100053588,93.0,ACVR2B,OK
ACVRL1,100061313,94.0,ACVRL1,OK
ACY1,100060631,95.0,ACY1,OK
ACY3,102149799,91703.0,ACY3,OK
ACYP1,100051419,97.0,ACYP1,OK
ACYP2,100630291,98.0,ACYP2,OK
ADA,100070773,100.0,ADA,OK
ADA2,100055385,51816.0,ADA2,OK
ADAD1,100063860,132612.0,ADAD1,OK
ADAD2,100070132,161931.0,ADAD2,OK
ADAL,100070813,161823.0,MAPDA,OK
ADAM10,100068314,102.0,ADAM10,OK
ADAM11,100064340,4185.0,ADAM11,OK
ADAM12,100056196,8038.0,ADAM12,OK
ADAM15,100063219,8751.0,ADAM15,OK
ADAM17,100072496,6868.0,ADAM17,OK
ADAM18,100147614,,,NO_ORTHOLOG
ADAM19,100059871,8728.0,ADAM19,OK
ADAM20,100146845,,,NO_ORTHOLOG
ADAM22,100050380,53616.0,ADAM22,OK
ADAM23,100068579,8745.0,ADAM23,OK
ADAM28,100058721,10863.0,ADAM28,OK
ADAM29,100065626,11086.0,ADAM29,OK
ADAM30,100067035,11085.0,ADAM30,OK
ADAM32,100057132,203102.0,ADAM32,OK
ADAM33,100066376,80332.0,ADAM33,OK
ADAM7,100058838,8756.0,ADAM7,OK
ADAM8,111772543,101.0,ADAM8,OK
ADAM9,100058578,8754.0,ADAM9,OK
ADAMDEC1,100058764,27299.0,ADAMDEC1,OK
ADAMTS1,791251,9510.0,ADAMTS1,OK
ADAMTS10,100147003,81794.0,ADAMTS10,OK
ADAMTS12,100068281,81792.0,ADAMTS12,OK
ADAMTS13,100069281,11093.0,ADAMTS13,OK
ADAMTS14,100063487,140766.0,ADAMTS14,OK
ADAMTS15,100064739,170689.0,ADAMTS15,OK
ADAMTS16,100071544,170690.0,ADAMTS16,OK
ADAMTS17,100056538,170691.0,ADAMTS17,OK
ADAMTS18,100069320,170692.0,ADAMTS18,OK
ADAMTS19,100072998,171019.0,ADAMTS19,OK
ADAMTS2,100630632,9509.0,ADAMTS2,OK
ADAMTS20,100054665,80070.0,ADAMTS20,OK
ADAMTS4,100033914,9507.0,ADAMTS4,OK
ADAMTS5,100066005,11096.0,ADAMTS5,OK
ADAMTS6,100050673,11174.0,ADAMTS6,OK
ADAMTS7,100059959,11173.0,ADAMTS7,OK
ADAMTS8,100072682,11095.0,ADAMTS8,OK
ADAMTS9,100049887,56999.0,ADAMTS9,OK
ADAMTSL1,100063467,92949.0,ADAMTSL1,OK
ADAMTSL2,100066494,9719.0,ADAMTSL2,OK
ADAMTSL4,100059096,54507.0,ADAMTSL4,OK
ADAMTSL5,100060620,339366.0,ADAMTSL5,OK
ADAP1,100630912,11033.0,ADAP1,OK
ADAP2,100058484,55803.0,ADAP2,OK
ADAR,100056984,103.0,ADAR,OK
ADARB1,100055928,104.0,ADARB1,OK
ADARB2,100057531,105.0,ADARB2,OK
ADAT1,100069032,23536.0,ADAT1,OK
ADAT2,100067148,134637.0,ADAT2,OK
ADAT3,106783364,113179.0,ADAT3,OK
ADCK1,100052487,57143.0,ADCK1,OK
ADCK2,100065809,90956.0,ADCK2,OK
ADCK5,100064927,203054.0,ADCK5,OK
ADCY1,100065563,107.0,ADCY1,OK
ADCY10,100056933,55811.0,ADCY10,OK
ADCY2,100071337,108.0,ADCY2,OK
ADCY3,100055961,109.0,ADCY3,OK
ADCY4,100054305,196883.0,ADCY4,OK
ADCY5,100070498,111.0,ADCY5,OK
ADCY6,100051295,112.0,ADCY6,OK
ADCY7,100058891,113.0,ADCY7,OK
ADCY8,100057796,114.0,ADCY8,OK
ADCY9,100066046,115.0,ADCY9,OK
ADCYAP1,100061356,116.0,ADCYAP1,OK
ADCYAP1R1,100069948,117.0,ADCYAP1R1,OK
ADD1,100051451,118.0,ADD1,OK
ADD2,100050348,119.0,ADD2,OK
ADD3,100059447,120.0,ADD3,OK
ADGB,100065880,79747.0,ADGB,OK
ADGRA1,100050642,84435.0,ADGRA1,OK
ADGRA2,100059646,25960.0,ADGRA2,OK
ADGRA3,100068039,166647.0,ADGRA3,OK
ADGRB1,102148282,575.0,ADGRB1,OK
ADGRB2,100070436,576.0,ADGRB2,OK
ADGRB3,100057127,577.0,ADGRB3,OK
ADGRD1,100062695,283383.0,ADGRD1,OK
ADGRD2,100147588,347088.0,ADGRD2,OK
ADGRE1,100066036,2015.0,ADGRE1,OK
ADGRE3,100064825,84658.0,ADGRE3,OK
ADGRE5,111774270,976.0,ADGRE5,OK
ADGRF1,100068434,266977.0,ADGRF1,OK
ADGRF2,100068533,,,NO_ORTHOLOG
ADGRF3,100071363,165082.0,ADGRF3,OK
ADGRF4,100068555,,,NO_ORTHOLOG
ADGRF5,100068417,221395.0,ADGRF5,OK
ADGRG1,100062615,9289.0,ADGRG1,OK
ADGRG2,100058260,10149.0,ADGRG2,OK
ADGRG3,100062648,222487.0,ADGRG3,OK
ADGRG4,100056865,139378.0,ADGRG4,OK
ADGRG5,100062576,221188.0,ADGRG5,OK
ADGRG6,100060706,57211.0,ADGRG6,OK
ADGRG7,100072256,84873.0,ADGRG7,OK
ADGRL1,100065569,22859.0,ADGRL1,OK
ADGRL2,100052932,23266.0,ADGRL2,OK
ADGRL3,100056929,23284.0,ADGRL3,OK
ADGRL4,100052983,64123.0,ADGRL4,OK
ADGRV1,100073239,84059.0,ADGRV1,OK
ADHFE1,100063782,137872.0,ADHFE1,OK
ADI1,100072837,55256.0,ADI1,OK
ADIG,100630181,149685.0,ADIG,OK
ADIPOQ,100059500,9370.0,ADIPOQ,OK
ADIPOR1,100052436,51094.0,ADIPOR1,OK
ADIPOR2,100050051,79602.0,ADIPOR2,OK
ADIRF,100630294,10974.0,ADIRF,OK
ADISSP,100052483,54976.0,ADISSP,OK
ADK,100072901,132.0,ADK,OK
ADM,100033857,133.0,ADM,OK
ADM2,100629546,79924.0,ADM2,OK
ADM5,102150093,199800.0,ADM5,OK
ADNP,100049902,23394.0,ADNP,OK
ADNP2,100065519,22850.0,ADNP2,OK
ADO,100147027,84890.0,ADO,OK
ADORA1,100052496,134.0,ADORA1,OK
ADORA2A,100034039,135.0,ADORA2A,OK
ADORA2B,100063319,136.0,ADORA2B,OK
ADPGK,100052166,83440.0,ADPGK,OK
ADPRH,100070997,141.0,ADPRH,OK
ADPRHL1,100067285,113622.0,ADPRHL1,OK
ADPRM,100073085,56985.0,ADPRM,OK
ADPRS,100069360,54936.0,ADPRS,OK
ADRA1A,100054461,148.0,ADRA1A,OK
ADRA1B,100071055,147.0,ADRA1B,OK
ADRA1D,100066003,146.0,ADRA1D,OK
ADRA2A,100147119,150.0,ADRA2A,OK
ADRA2B,100051684,151.0,ADRA2B,OK
ADRA2C,111772982,152.0,ADRA2C,OK
ADRB1,100146832,153.0,ADRB1,OK
ADRB2,100060659,154.0,ADRB2,OK
ADRB3,100147322,155.0,ADRB3,OK
ADRM1,106782443,11047.0,ADRM1,OK
ADSL,100070427,158.0,ADSL,OK
ADSS1,102148062,122622.0,ADSS1,OK
ADSS2,100062135,159.0,ADSS2,OK
ADTRP,100064059,84830.0,ADTRP,OK
AEBP1,100064946,165.0,AEBP1,OK
AEBP2,100067927,121536.0,AEBP2,OK
AEN,100069794,64782.0,AEN,OK
AFAP1,100056653,60312.0,AFAP1,OK
AFAP1L1,100071710,134265.0,AFAP1L1,OK
AFAP1L2,100068108,84632.0,AFAP1L2,OK
AFDN,100054846,4301.0,AFDN,OK
AFF1,100062821,4299.0,AFF1,OK
AFF2,100055437,2334.0,AFF2,OK
AFF3,100059904,3899.0,AFF3,OK
AFF4,100063038,27125.0,AFF4,OK
AFG1L,100066538,246269.0,AFG1L,OK
AFG2A,100063769,166378.0,AFG2A,OK
AFG2B,100070495,79029.0,AFG2B,OK
AFG3L2,100058377,10939.0,AFG3L2,OK
AFM,100055671,173.0,AFM,OK
AFMID,100057858,125061.0,AFMID,OK
AFP,100034185,174.0,AFP,OK
AFTPH,100063526,54812.0,AFTPH,OK
AGA,100060636,175.0,AGA,OK
AGAP1,100065931,116987.0,AGAP1,OK
AGAP2,100050853,116986.0,AGAP2,OK
AGAP3,100064153,116988.0,AGAP3,OK
AGBL1,100070057,123624.0,AGBL1,OK
AGBL2,100051805,79841.0,AGBL2,OK
AGBL3,100068082,340351.0,AGBL3,OK
AGBL4,100063327,84871.0,AGBL4,OK
AGBL5,100055532,60509.0,AGBL5,OK
AGER,100051699,177.0,AGER,OK
AGFG1,100629966,3267.0,AGFG1,OK
AGFG2,100068998,3268.0,AGFG2,OK
AGGF1,100073274,55109.0,AGGF1,OK
AGK,100064603,55750.0,AGK,OK
AGL,100050695,178.0,AGL,OK
AGMAT,100054283,79814.0,AGMAT,OK
AGMO,100052771,392636.0,AGMO,OK
AGO1,100055148,,,NO_ORTHOLOG
AGO2,100069541,27161.0,AGO2,OK
AGO3,100069387,192669.0,AGO3,OK
AGO4,100055196,,,NO_ORTHOLOG
AGPAT1,100059501,10554.0,AGPAT1,OK
AGPAT2,100068797,10555.0,AGPAT2,OK
AGPAT3,100057170,56894.0,AGPAT3,OK
AGPAT4,100050454,56895.0,AGPAT4,OK
AGPAT5,100063996,55326.0,AGPAT5,OK
AGPS,100053590,8540.0,AGPS,OK
AGR2,100053075,10551.0,AGR2,OK
AGR3,100066130,155465.0,AGR3,OK
AGRN,100066334,375790.0,AGRN,OK
AGRP,100066082,181.0,AGRP,OK
AGT,100065526,183.0,AGT,OK
AGTPBP1,100061665,23287.0,AGTPBP1,OK
AGTR1,100059005,185.0,AGTR1,OK
AGTR2,100053878,186.0,AGTR2,OK
AGTRAP,100051052,57085.0,AGTRAP,OK
AGXT,100067459,189.0,AGXT,OK
AGXT2,100053849,64902.0,AGXT2,OK
AHCTF1,100054592,25909.0,AHCTF1,OK
AHCYL1,100058372,10768.0,AHCYL1,OK
AHCYL2,100071835,23382.0,AHCYL2,OK
AHDC1,100056837,27245.0,AHDC1,OK
AHI1,100073172,54806.0,AHI1,OK
AHNAK,100063459,79026.0,AHNAK,OK
AHNAK2,100146176,113146.0,AHNAK2,OK
AHR,100066186,196.0,AHR,OK
AHRR,100057633,57491.0,AHRR,OK
AHSA1,100052370,10598.0,AHSA1,OK
AHSA2,100064970,,,NO_ORTHOLOG
AHSG,100068067,197.0,AHSG,OK
AHSP,100630155,51327.0,AHSP,OK
AICDA,100061137,57379.0,AICDA,OK
AIDA,100053366,64853.0,AIDA,OK
AIF1,100050158,199.0,AIF1,OK
AIF1L,100069645,83543.0,AIF1L,OK
AIFM1,100054546,9131.0,AIFM1,OK
AIFM2,100063387,84883.0,AIFM2,OK
AIFM3,100056937,150209.0,AIFM3,OK
AIG1,100067266,51390.0,AIG1,OK
AIMP1,100073027,9255.0,AIMP1,OK
AIMP2,100059133,7965.0,AIMP2,OK
AIP,100034148,9049.0,AIP,OK
AIPL1,100072761,23746.0,AIPL1,OK
AIRE,100056971,326.0,AIRE,OK
AIRIM,100054694,54955.0,AIRIM,OK
AJAP1,100060185,55966.0,AJAP1,OK
AJM1,106782604,389813.0,AJM1,OK
AJUBA,100056024,84962.0,AJUBA,OK
AK1,100070413,203.0,AK1,OK
AK2,100055706,204.0,AK2,OK
AK3,100059240,50808.0,AK3,OK
AK4,100069665,205.0,AK4,OK
AK5,100053274,26289.0,AK5,OK
AK6,102149609,6880.0,TAF9,OK
AK7,100054566,122481.0,AK7,OK
AK8,100066634,158067.0,AK8,OK
AK9,100066700,221264.0,AK9,OK
AKAIN1,100629939,642597.0,AKAIN1,OK
AKAP1,100056722,8165.0,AKAP1,OK
AKAP10,100073152,11216.0,AKAP10,OK
AKAP11,100060352,11215.0,AKAP11,OK
AKAP12,100063263,9590.0,AKAP12,OK
AKAP13,100070242,11214.0,AKAP13,OK
AKAP14,100629400,158798.0,AKAP14,OK
AKAP17A,100069806,8227.0,AKAP17A,OK
AKAP17B,100059263,,,NO_ORTHOLOG
AKAP3,100051437,10566.0,AKAP3,OK
AKAP4,100052348,8852.0,AKAP4,OK
AKAP5,100052129,9495.0,AKAP5,OK
AKAP6,100056405,9472.0,AKAP6,OK
AKAP7,100067512,9465.0,AKAP7,OK
AKAP8,100063189,10270.0,AKAP8,OK
AKAP8L,100063225,26993.0,AKAP8L,OK
AKAP9,100061002,10142.0,AKAP9,OK
AKIP1,100055553,56672.0,AKIP1,OK
AKIRIN1,100068830,79647.0,AKIRIN1,OK
AKIRIN2,100070681,55122.0,AKIRIN2,OK
AKNA,100146418,80709.0,AKNA,OK
AKNAD1,100057931,254268.0,AKNAD1,OK
AKR1A1,100052360,10327.0,AKR1A1,OK
AKR1B1,100065145,231.0,AKR1B1,OK
AKR1C1,100034073,,,NO_ORTHOLOG
AKR1D1,100066919,6718.0,AKR1D1,OK
AKR1E2,100070632,83592.0,AKR1E2,OK
AKT1,100061130,207.0,AKT1,OK
AKT1S1,100052282,84335.0,AKT1S1,OK
AKT2,100064671,208.0,AKT2,OK
AKT3,100054961,10000.0,AKT3,OK
AKTIP,100050450,64400.0,AKTIP,OK
ALAD,100052763,210.0,ALAD,OK
ALAS1,100060491,211.0,ALAS1,OK
ALAS2,100060580,212.0,ALAS2,OK
ALB,100034206,213.0,ALB,OK
ALCAM,100061848,214.0,ALCAM,OK
ALDH16A1,100055479,126133.0,ALDH16A1,OK
ALDH18A1,100061213,5832.0,ALDH18A1,OK
ALDH1A1,100054931,216.0,ALDH1A1,OK
ALDH1A2,100054550,8854.0,ALDH1A2,OK
ALDH1A3,100057072,220.0,ALDH1A3,OK
ALDH1B1,100055111,219.0,ALDH1B1,OK
ALDH1L1,100061108,10840.0,ALDH1L1,OK
ALDH1L2,100053705,160428.0,ALDH1L2,OK
ALDH2,100057622,217.0,ALDH2,OK
ALDH3A1,100073157,218.0,ALDH3A1,OK
ALDH3A2,100073165,224.0,ALDH3A2,OK
ALDH3B1,100053339,221.0,ALDH3B1,OK
ALDH4A1,100147246,8659.0,ALDH4A1,OK
ALDH5A1,100067559,7915.0,ALDH5A1,OK
ALDH6A1,100050834,4329.0,ALDH6A1,OK
ALDH7A1,100063766,501.0,ALDH7A1,OK
ALDH8A1,100067765,64577.0,ALDH8A1,OK
ALDH9A1,100060577,223.0,ALDH9A1,OK
ALDOA,100066121,226.0,ALDOA,OK
ALDOB,100054480,229.0,ALDOB,OK
ALDOC,100059231,230.0,ALDOC,OK
ALG1,100147524,56052.0,ALG1,OK
ALG11,100049892,440138.0,ALG11,OK
ALG12,100146652,79087.0,ALG12,OK
ALG13,100058763,,,NO_ORTHOLOG
ALG14,100058111,199857.0,ALG14,OK
ALG2,100054840,85365.0,ALG2,OK
ALG3,100059007,10195.0,ALG3,OK
ALG5,100065925,29880.0,ALG5,OK
ALG6,100070118,29929.0,ALG6,OK
ALG8,100051152,79053.0,ALG8,OK
ALG9,100070423,79796.0,ALG9,OK
ALKAL1,100050264,389658.0,ALKAL1,OK
ALKAL2,100073043,285016.0,ALKAL2,OK
ALKBH1,100059544,8846.0,ALKBH1,OK
ALKBH2,100059785,121642.0,ALKBH2,OK
ALKBH3,100055568,221120.0,ALKBH3,OK
ALKBH4,100059659,54784.0,ALKBH4,OK
ALKBH5,100050716,54890.0,ALKBH5,OK
ALKBH6,100060277,84964.0,ALKBH6,OK
ALKBH7,100065494,84266.0,ALKBH7,OK
ALKBH8,100061658,91801.0,ALKBH8,OK
ALLC,100072815,55821.0,ALLC,OK
ALMS1,100058956,7840.0,ALMS1,OK
ALOX12B,100062323,242.0,ALOX12B,OK
ALOX15,100072900,246.0,ALOX15,OK
ALOX15B,100073039,247.0,ALOX15B,OK
ALOX5,100062042,240.0,ALOX5,OK
ALOX5AP,100034178,241.0,ALOX5AP,OK
ALOXE3,100062351,59344.0,ALOXE3,OK
ALPK1,100072711,80216.0,ALPK1,OK
ALPK2,100054491,115701.0,ALPK2,OK
ALPK3,100068508,57538.0,ALPK3,OK
ALPL,100058275,249.0,ALPL,OK
ALS2,100066250,57679.0,ALS2,OK
ALS2CL,100147424,259173.0,ALS2CL,OK
ALX1,100061985,8092.0,ALX1,OK
ALX3,100058414,257.0,ALX3,OK
ALX4,100055958,60529.0,ALX4,OK
ALYREF,106782613,10189.0,ALYREF,OK
AMACR,100054088,23600.0,AMACR,OK
AMBN,100054155,258.0,AMBN,OK
AMBP,100051766,259.0,AMBP,OK
AMBRA1,100050652,55626.0,AMBRA1,OK
AMD1,100072355,262.0,AMD1,OK
AMDHD1,100065538,144193.0,AMDHD1,OK
AMDHD2,100068441,51005.0,AMDHD2,OK
AMELX,100049799,265.0,AMELX,OK
AMER1,100054310,139285.0,AMER1,OK
AMER2,100058692,219287.0,AMER2,OK
AMER3,100068013,205147.0,AMER3,OK
